,text,normed_text
24181,truong cao dang nghe so 2 bo quoc phong,Trường Cao Đẳng Nghề số 2 - Bộ Quốc phòng
24182,truong Trường THPT hung vuong,Trường THPT Hùng Vương
24183,truong pho thong dan toc noi tru tinh phu tho,Trường THPT Dân tộc Nội trú tỉnh Phú Thọ
24184,truong Trường THPT thi xa phu tho,Trường THPT Thị xã Phú Thọ
24185,truong Trường THPT truong thinh,Trường THPT Trường Thịnh
24186,trung tam gdnn gdtx thi xa phu tho,TT GDNN-GDTX Thị xã Phú Thọ
24187,trung tam ktth hn thi xa phu tho phuong au co thi xa phu tho,"TT KTTH-HN thị xã Phú Thọ Phường Âu Cơ, thị xã Phú Thọ"
24188,truong cao dang nghe cong nghe va nong lam phu tho,Trường Cao Đẳng nghề Công nghệ và Nông lâm Phú Thọ
24189,truong cao dang y te phu tho,Trường Cao Đẳng Y tế Phú Thọ
24190,truong Trường THPT ban cong hung vuong,Trường THPT Bán Công Hùng Vương
24191,truong Trường THPT doan hung,Trường THPT Đoan Hùng
24192,truong Trường THPT chan mong,Trường THPT Chân Mộng
24193,truong Trường THPT que lam,Trường THPT Quế Lâm
24194,trung tam gdnn gdtx doan hung,TT GDNN-GDTX Đoan Hùng
24195,truong Trường THPT ban cong doan hung thi tran doan hung huyen doan hung,"Trường THPT Bán Công Đoan Hùng Thị trấn Đoan Hùng, huyện Đoan Hùng"
24196,truong Trường THPT thanh ba,Trường THPT Thanh Ba
24197,truong Trường THPT yen khe,Trường THPT Yển Khê
24198,trung tam gdnn gdtx thanh ba,TT GDNN-GDTX Thanh Ba
24199,truong cao dang nghe co dien phu tho,Trường Cao Đẳng nghề cơ điện Phú Thọ
24200,truong Trường THPT ban cong thanh ba,Trường THPT Bán Công Thanh Ba
24201,truong Trường THPT ha hoa,Trường THPT Hạ Hoà
24202,truong Trường THPT vinh chan,Trường THPT Vĩnh Chân
24203,truong Trường THPT xuan ang,Trường THPT Xuân Áng
24204,truong Trường THPT nguyen binh khiem,Trường THPT Nguyễn Bỉnh Khiêm
24205,trung tam gdnn gdtx ha hoa,TT GDNN-GDTX Hạ Hoà
24206,truong Trường THPT cam khe,Trường THPT Cẩm Khê
24207,truong Trường THPT hien da,Trường THPT Hiền Đa
24208,truong Trường THPT phuong xa,Trường THPT Phương Xá
24209,trung tam gdnn gdtx cam khe,TT GDNN-GDTX Cẩm Khê
24210,truong Trường THPT ban cong cam khe,Trường THPT Bán Công Cẩm Khê
24211,truong Trường THPT yen lap,Trường THPT Yên Lập
24212,truong Trường THPT luong son,Trường THPT Lương Sơn
24213,truong Trường THPT minh hoa,Trường THPT Minh Hòa
24214,trung tam gdnn gdtx yen lap,TT GDNN-GDTX Yên Lập
24215,truong pho thong dan toc noi tru Trường THCS-THPT huyen yen lap,Trường THPT Dân tộc Nội trú Trường THCS-THPT huyện Yên Lập
24216,truong Trường THPT thanh son,Trường THPT Thanh Sơn
24217,truong Trường THPT van mieu,Trường THPT Văn Miếu
24218,truong Trường THPT huong can,Trường THPT Hương Cần
24219,trung tam gdnn gdtx thanh son,TT GDNN-GDTX Thanh Sơn
24220,truong trung cap nghe dan toc noi tru phu tho,Trường Trung cấp nghề Dân tộc nội trú Phú Thọ
24221,truong Trường THPT ban cong thanh son,Trường THPT Bán Công Thanh Sơn
24222,truong Trường THPT phu ninh,Trường THPT Phù Ninh
24223,truong Trường THPT tu da,Trường THPT Tử Đà
24224,truong Trường THPT trung giap,Trường THPT Trung Giáp
24225,truong Trường THPT nguyen hue,Trường THPT Nguyễn Huệ
24226,trung tam gdnn gdtx phu ninh,TT GDNN-GDTX Phù Ninh
24227,truong cao dang nghe giay va co dien,Trường Cao Đẳng nghề Giấy và Cơ điện
24228,truong Trường THPT ban cong phu ninh,Trường THPT Bán Công Phù Ninh
24229,truong Trường THPT phan dang luu,Trường THPT Phan Đăng Lưu
24230,truong Trường THPT long chau sa,Trường THPT Long Châu Sa
24231,truong Trường THPT phong chau,Trường THPT Phong Châu
24232,truong Trường THPT lam thao,Trường THPT Lâm Thao
24233,trung tam gdnn gdtx lam thao,TT GDNN-GDTX Lâm Thao
24234,truong cao dang cong nghiep hoa chat,Trường Cao Đẳng Công nghiệp Hóa chất
24235,truong dh cong nghiep viet tri,Trường ĐH Công nghiệp Việt trì
24236,truong Trường THPT ban cong phong chau,Trường THPT Bán Công Phong Châu
24237,truong Trường THPT tam nong,Trường THPT Tam Nông
24238,truong Trường THPT my van,Trường THPT Mỹ Văn
24239,truong Trường THPT hung hoa,Trường THPT Hưng Hoá
24240,trung tam gdnn gdtx tam nong,TT GDNN-GDTX Tam Nông
24241,truong Trường THPT ban cong tam nong,Trường THPT Bán Công Tam Nông
24242,truong Trường THPT thanh thuy,Trường THPT Thanh Thuỷ
24243,truong Trường THPT trung nghia,Trường THPT Trung Nghĩa
24244,truong Trường THPT tan da,Trường THPT Tản Đà
24245,trung tam gdnn gdtx thanh thuy,TT GDNN-GDTX Thanh Thuỷ
24246,truong Trường THPT minh dai,Trường THPT Minh Đài
24247,truong Trường THPT thach kiet,Trường THPT Thạch Kiệt
24248,trung tam gdnn gdtx tan son,TT GDNN-GDTX Tân Sơn
24249,cd nghe viet duc,CĐ nghề Việt Đức
24250,Trường THPT tran phu,Trường THPT Trần Phú
24251,Trường THPT chuyen vinh phuc,Trường THPT Chuyên Vĩnh Phúc
24252,Trường THPT dan lap vinh yen,Trường THPT Dân lập Vĩnh Yên
24253,Trường THPT vinh yen,Trường THPT Vĩnh Yên
24254,pt dtnt cap 2 3 vinh phuc tp vinh yen,PT DTNT cấp 2-3 Vĩnh Phúc 
24255,Trường THPT nguyen thai hoc,Trường THPT Nguyễn Thái Học
24256,TT GDTX tinh,TT GDTX Tỉnh
24257,cd kinh te ky thuat vinh phuc,CĐ Kinh tế Kỹ thuật Vĩnh Phúc
24258,tc ky thuat vinh phuc,TC Kỹ thuật Vĩnh Phúc
24259,truong quan su quan khu 2,Trường Quân sự Quân khu 2
24260,cd nghe vinh phuc,CĐ nghề Vĩnh Phúc
24261,Trường THPT lien bao,Trường THPT Liên Bảo
24262,Trường THPT tam duong,Trường THPT Tam Dương
24263,TT GDTX tam duong truoc nam 2015,TT GDTX Tam Dương
24264,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo
24265,Trường THPT tam duong 2,Trường THPT Tam Dương 2
24266,tt gdnn gdtx tam duong,TT GDNN-GDTX Tam Dương
24267,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
24268,Trường THPT lien son,Trường THPT Liễn Sơn
24269,Trường THPT tran nguyen han,Trường THPT Trần Nguyên Hãn
24270,Trường THPT trieu thai,Trường THPT Triệu Thái
24271,TT GDTX lap thach truoc nam 2015,TT GDTX Lập Thạch
24272,Trường THPT thai hoa truoc nam 2018,Trường THPT Thái Hoà
24273,tt gdnn gdtx lap thach,TT GDNN-GDTX Lập Thạch
24274,Trường THPT van quan truoc nam 2018,Trường THPT Văn Quán
24275,Trường THPT le xoay,Trường THPT Lê Xoay
24276,Trường THPT nguyen viet xuan,Trường THPT Nguyễn Viết Xuân
24277,Trường THPT doi can,Trường THPT Đội Cấn
24278,TT GDTX vinh tuong truoc nam 2015,TT GDTX Vĩnh Tường
24279,Trường THPT vinh tuong truoc nam 2019,Trường THPT Vĩnh Tường
24280,Trường THPT nguyen thi giang,Trường THPT Nguyễn Thị Giang
24281,Trường THPT ho xuan huong truoc nam 2018,Trường THPT Hồ Xuân Hương
24282,tt gdnn gdtx vinh tuong,TT GDNN-GDTX Vĩnh Tường
24283,cao dang nghe so 2 bo quoc phong xa lung hoa huyen vinh tuong,"Cao Đẳng nghề số 2 - Bộ Quốc phòng Xã Lũng Hòa, huyện Vĩnh Tường"
24284,Trường THPT yen lac,Trường THPT Yên Lạc
24285,Trường THPT yen lac 2,Trường THPT Yên Lạc 2
24286,Trường THPT pham cong binh,Trường THPT Phạm Công Bình
24287,TT GDTX yen lac truoc nam 2015,TT GDTX Yên Lạc
24288,Trường THPT dong dau,Trường THPT Đồng Đậu
24289,tt gdnn gdtx yen lac,TT GDNN-GDTX Yên Lạc
24290,Trường THPT binh xuyen,Trường THPT Bình Xuyên
24291,Trường THPT quang ha,Trường THPT Quang Hà
24292,Trường THPT vo thi sau,Trường THPT Võ Thị Sáu
24293,TT GDTX binh xuyen truoc nam 2015,TT GDTX Bình Xuyên
24294,cd co khi nong nghiep,CĐ cơ khí nông nghiệp
24295,Trường THPT nguyen duy thi truoc nam 2019,Trường THPT Nguyễn Duy Thì
24296,tt gdnn gdtx binh xuyen,TT GDNN-GDTX Bình Xuyên
24297,Trường THPT sang son tt tam son,Trường THPT Sáng Sơn
24298,Trường THPT binh son,Trường THPT Bình Sơn
24299,Trường THPT song lo truoc nam 2019,Trường THPT Sông Lô
24300,Trường THPT sang son xa dong thinh,Trường THPT Sáng Sơn
24301,tt gdnn gdtx phuc yen,TT GDNN-GDTX Phúc Yên
24302,Trường THPT ben tre,Trường THPT Bến Tre
24303,Trường THCS-THPT hai ba trung truoc nam 2018,Trường THCS-THPT Hai Bà Trưng
24304,Trường THPT xuan hoa,Trường THPT Xuân Hòa
24305,tc nghe ky thuat xay dung va nghiep vu,TC nghề kỹ thuật xây dựng và nghiệp vụ
24306,Trường THPT phuc yen truoc nam 2018,Trường THPT Phúc Yên
24307,TT GDTX phuc yen truoc nam 2015,TT GDTX Phúc Yên
24308,cd cong nghiep va thuong mai,CĐ Công nghiệp và Thương mại
24309,trung cap xay dung so 4,Trung cấp xây dựng số 4
24310,cd nghe viet xo so 1,CĐ nghề Việt Xô số 1
24311,pt dtnt Trường THCS-THPT phuc yen truoc nam 2020,PT DTNT Trường THCS-THPT Phúc Yên
24312,Trường THPT hai ba trung,Trường THPT Hai Bà Trưng
24313,pt dtnt cap 2 3 vinh phuc xa ngoc thanh,PT DTNT cấp 2-3 Vĩnh Phúc
24314,Trường THPT tam dao,Trường THPT Tam Đảo
24315,TT GDTX tam dao truoc nam 2015,TT GDTX Tam Đảo
24316,Trường THPT tam dao 2,Trường THPT Tam Đảo 2
24317,tt gdnn gdtx tam dao,TT GDNN-GDTX Tam Đảo
24318,Trường THPT chuyen ha long,Trường THPT Chuyên Hạ Long
24319,tt hn gdtx tinh,TT HN-GDTX tỉnh
24320,pt dtnt tinh,PT DTNT tỉnh
24321,Trường THPT hon gai,Trường THPT Hòn Gai
24322,Trường THPT ngo quyen,Trường THPT Ngô Quyền
24323,Trường THPT vu van hieu,Trường THPT Vũ Văn Hiếu
24324,Trường THPT bai chay,Trường THPT Bãi Cháy
24325,th Trường THCS-THPT le thanh tong,Trường THCS-THPT Lê Thánh Tông
24326,Trường THPT ha long,Trường THPT Hạ Long
24327,th Trường THCS-THPT nguyen binh khiem,Trường THCS-THPT Nguyễn Bỉnh Khiêm
24328,th Trường THCS-THPT van lang,Trường THCS-THPT Văn Lang
24329,th Trường THCS-THPT doan thi diem ha long,Trường THCS-THPT Đoàn Thị Điểm Hạ Long
24330,Trường THPT hoanh bo tu 01 01 2020,Trường THPT Hoành Bồ
24331,trung tam gdnn gdtx ha long tu 01 01 2020,TT GDNN-GDTX Hạ Long
24332,Trường THPT quang la tu 01 01 2020,Trường THPT Quảng La
24333,Trường THPT thong nhat tu 01 01 2020,Trường THPT Thống Nhất
24334,cao dang giao thong quang ninh,Cao Đẳng Giao thông Quảng Ninh
24335,trung tam hn gdtx tinh co so cd giao thong quang ninh,TT HN-GDTX tỉnh Quảng Ninh
24336,Trường THPT cam pha,Trường THPT Cẩm Phả
24337,Trường THPT le hong phong,Trường THPT Lê Hồng Phong
24338,Trường THPT cua ong,Trường THPT Cửa Ông
24339,Trường THPT le quy don,Trường THPT Lê Quý Đôn
24340,Trường THPT mong duong,Trường THPT Mông Dương
24341,Trường THPT luong the vinh,Trường THPT Lương Thế Vinh
24342,Trường THPT hung vuong,Trường THPT Hùng Vương
24343,trung tam gdnn gdtx cam pha p cam son tp cam pha,"TT GDNN-GDTX Cẩm Phả P. Cẩm Sơn, TP Cẩm Phả"
24344,cd cong nghiep cam pha truoc nam hoc 2019 2020,CĐ Công nghiệp Cẩm Phả
24345,trung tam gdnn gdtx cam pha co so cd cong nghiep cam pha,TT GDNN-GDTX Cẩm Phả
24346,cao dang than khoang san viet nam phan hieu cam pha truoc nam hoc 2019 2020,Cao Đẳng Than - Khoáng sản Việt Nam Phân hiệu Cẩm Phả
24347,trung tam gdnn gdtx cam pha co so cd t ks viet nam,TT GDNN-GDTX Cẩm Phả
24348,Trường THPT uong bi,Trường THPT Uông Bí
24349,Trường THPT hoang van thu,Trường THPT Hoàng Văn Thụ
24350,trung tam gdnn gdtx uong bi,TT GDNN-GDTX Uông Bí
24351,Trường THPT hong duc,Trường THPT Hồng Đức
24352,Trường THPT nguyen tat thanh,Trường THPT Nguyễn Tất Thành
24353,cao dang cong nghiep va xay dung truoc nam hoc 2019 2020,Cao Đẳng Công nghiệp và Xây dựng
24354,trung tam gdnn gdtx uong bi co so cd cong nghiep va xay dung,TT GDNN-GDTX Uông Bí
24355,Trường THPT tran phu,Trường THPT Trần Phú
24356,Trường THPT ly thuong kiet,Trường THPT Lý Thường Kiệt
24357,Trường THCS-THPT chu van an,Trường THCS-THPT Chu Văn An
24358,trung tam gdnn gdtx mongcai,TT GDNN-GDTX MóngCái
24359,Trường THPT binh lieu,Trường THPT Bình Liêu
24360,Trường THCS-THPT hoanh mo,Trường THCS-THPT Hoành Mô
24361,trung tam gdnn gdtx binhlieu,TT GDNN-GDTX BìnhLiêu
24362,Trường THPT dam ha,Trường THPT Đầm Hà
24363,Trường THCS-THPT le loi,Trường THCS-THPT Lê Lợi
24364,trung tam gdnn gdtx dam ha,TT GDNN-GDTX Đầm Hà
24365,Trường THPT quang ha,Trường THPT Quảng Hà
24366,Trường THPT nguyen du,Trường THPT Nguyễn Du
24367,trung tam gdnn gdtx hai ha,TT GDNN-GDTX Hải Hà
24368,Trường THCS-THPT duong hoa cuong,Trường THCS-THPT Đường Hoa Cương
24369,Trường THPT tien yen,Trường THPT Tiên Yên
24370,Trường THPT hai dong,Trường THPT Hải Đông
24371,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi
24372,trung tam gdnn gdtx tienyen,TT GDNN-GDTX TiênYên
24373,pt dtnt Trường THCS-THPT tien yen,PT DTNT Trường THCS-THPT Tiên Yên
24374,Trường THPT ba che,Trường THPT Ba Chẽ
24375,trung tam gdnn gdtx ba che,TT GDNN-GDTX Ba Chẽ
24376,Trường THPT dong trieu,Trường THPT Đông Triều
24377,Trường THPT hoang quoc viet,Trường THPT Hoàng Quốc Việt
24378,Trường THPT hoang hoa tham,Trường THPT Hoàng Hoa Thám
24379,Trường THPT le chan,Trường THPT Lê Chân
24380,Trường THPT tran nhan tong,Trường THPT Trần Nhân Tông
24381,Trường THPT nguyen binh,Trường THPT Nguyễn Bình
24382,trung tam gdnn gdtx dong trieu,TT GDNN-GDTX Đông Triều
24383,dai hoc cong nghiep quang ninh truoc nam hoc 2019 2020,Đại học Công nghiệp Quảng Ninh
24384,th Trường THCS-THPT tran hung dao,Trường THCS-THPT Trần Hưng Đạo
24385,Trường THPT dong trieu nam 2015 ve truoc,Trường THPT Đông Triều
24386,trung tam gdnn gdtx dong trieu co so dh cong nghiep quang ninh,TT GDNN-GDTX Đông Triều
24387,Trường THPT bach dang,Trường THPT Bạch Đằng
24388,Trường THPT minh ha,Trường THPT Minh Hà
24389,Trường THPT dong thanh,Trường THPT Đông Thành
24390,th Trường THCS-THPT yen hung,Trường THCS-THPT Yên Hưng
24391,Trường THPT tran quoc tuan,Trường THPT Trần Quốc Tuấn
24392,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
24393,trung tam gdnn gdtx quang yen,TT GDNN-GDTX Quảng Yên
24394,Trường THPT bach dang nam 2012 ve truoc,Trường THPT Bạch Đằng
24395,Trường THPT minh ha nam 2012 ve truoc x cam la h yen hung,"Trường THPT Minh Hà X. Cẩm La, H. Yên Hưng"
24396,Trường THPT yen hung nam 2012 ve truoc,Trường THPT Yên Hưng
24397,Trường THPT ngo gia tu nam 2012 ve truoc,Trường THPT Ngô Gia Tự
24398,trung tam gdhn gdtx quang yen nam 2012 ve truoc,TT GDHN-GDTX Quảng Yên
24399,cao dang nong lam dong bac truoc nam hoc 2019 2020,Cao Đẳng Nông lâm Đông bắc
24400,trung tam gdnn gdtx quang yen co so cd nong lam dong bac,TT GDNN-GDTX Quảng Yên 
24401,Trường THPT hoanh bo,Trường THPT Hoành Bồ
24402,Trường THPT quang la,Trường THPT Quảng La
24403,Trường THPT thong nhat,Trường THPT Thống Nhất
24404,trung tam gdnn gdtx hoanhbo,TT GDNN-GDTX HoànhBồ
24405,Trường THPT hai dao,Trường THPT Hải Đảo
24406,Trường THPT quan lan,Trường THPT Quan Lạn
24407,Trường THPT tran khanh du,Trường THPT Trần Khánh Dư
24408,trung tam gdnn gdtx van don x ha long huyen van don,"TT GDNN-GDTX Vân Đồn X. Hạ Long, Huyện Vân Đồn"
24409,Trường THPT co to,Trường THPT Cô Tô
24410,trung tam gdnn gdtx co to,TT GDNN-GDTX Cô Tô
24411,Trường THPT ngo si lien,Trường THPT Ngô Sĩ Liên
24412,Trường THPT chuyen bac giang,Trường THPT Chuyên Bắc Giang
24413,Trường THPT thai thuan,Trường THPT Thái Thuận
24414,ptth dan lap nguyen hong,PTTH Dân lập Nguyên Hồng
24415,ptth dan lap ho tung mau,PTTH Dân lập Hồ Tùng Mậu
24416,pt dtnt tinh bac giang,PT DTNT tỉnh Bắc Giang
24417,tt gdtx tinh bac giang,TT GDTX tỉnh Bắc Giang
24418,tt ngoai ngu tin hoc bac giang,TT Ngoại ngữ -Tin học Bắc Giang
24419,tt gd ktth huong nghiep,TT GD KTTH Hướng nghiệp
24420,cd nghe bac giang,CĐ Nghề Bắc Giang
24421,cd ky thuat cong nghiep,CĐ Kỹ thuật Công nghiệp
24422,tc nghe thu cong my nghe 19 5,TC Nghề Thủ công Mỹ nghệ 19.5
24423,tc nghe gtvt,TC Nghề GTVT
24424,tc nghe lai xe so 1,TC Nghề Lái xe số 1
24425,Trường THPT giap hai,Trường THPT Giáp Hải
24426,tc van hoa the thao va du lich,TC Văn hóa-Thể thao và Du lịch
24427,cd nghe cong nghe viet han bac giang,CĐ nghề Công nghệ Việt - Hàn Bắc Giang
24428,tieu hoc Trường THCS-THPT thu huong,"TH, Trường THCS, Trường THPT Thu Hương"
24429,tt gdtx hn tinh bac giang,TT GDTX - HN tỉnh Bắc Giang
24430,Trường THPT nguyen hong,Trường THPT Nguyên Hồng
24431,Trường THPT yen the,Trường THPT Yên Thế
24432,Trường THPT bo ha,Trường THPT Bố Hạ
24433,Trường THPT mo trang,Trường THPT Mỏ Trạng
24434,tt gdtx dn h yen the,TT GDTX DN H.Yên Thế
24435,tc nghe mn yen the,TC Nghề MN Yên Thế
24436,Trường THPT luc ngan so 1,Trường THPT Lục Ngạn số 1
24437,Trường THPT luc ngan so 2,Trường THPT Lục Ngạn số 2
24438,Trường THPT luc ngan so 3,Trường THPT Lục Ngạn số 3
24439,Trường THPT luc ngan so 4,Trường THPT Lục Ngạn số 4
24440,tt gdtx dn h luc ngan,TT GDTX-DN H.Lục Ngạn
24441,pt dtnt h luc ngan,PT DTNT H.Lục Ngạn
24442,Trường THPT ban cong h luc ngan,Trường THPT Bán công H.Lục Ngạn
24443,tt gdnn gdtx h luc ngan,TT GDNN-GDTX H.Lục Ngạn
24444,Trường THPT luc ngan so 5,Trường THPT Lục Ngạn số 5
24445,Trường THPT son dong so 1,Trường THPT Sơn Động số 1
24446,pt dtnt h son dong,PT DTNT H.Sơn Động
24447,Trường THPT son dong so 2,Trường THPT Sơn Động số 2
24448,tt gdtx dn h son dong,TT GDTX-DN H.Sơn Động
24449,Trường THPT son dong so 3,Trường THPT Sơn Động số 3
24450,tt gdnn gdtx h son dong,TT GDNN-GDTX H.Sơn Động
24451,Trường THPT luc nam,Trường THPT Lục Nam
24452,Trường THPT cam ly,Trường THPT Cẩm Lý
24453,Trường THPT phuong son,Trường THPT Phương Sơn
24454,Trường THPT tu son,Trường THPT Tứ Sơn
24455,ptth dan lap doi ngo,PTTH dân lập Đồi Ngô
24456,tt gdtx dn h luc nam,TT GDTX-DN H.Lục Nam
24457,Trường THPT tu thuc thanh ho,Trường THPT tư thục Thanh Hồ
24458,Trường THPT doi ngo,Trường THPT Đồi Ngô
24459,tt gdnn gdtx h luc nam,TT GDNN-GDTX H.Lục Nam
24460,Trường THPT thanh lam,Trường THPT Thanh Lâm
24461,Trường THPT tan yen so 1,Trường THPT Tân Yên số 1
24462,Trường THPT tan yen so 2,Trường THPT Tân Yên số 2
24463,Trường THPT nha nam,Trường THPT Nhã Nam
24464,ptth dan lap tan yen,PTTH dân lập Tân Yên
24465,tt gdtx dn h tan yen,TT GDTX-DN H.Tân Yên
24466,Trường THPT hoang hoa tham,Trường THPT Hoàng Hoa Thám
24467,tt gdnn gdtx h tan yen,TT GDNN-GDTX H.Tân Yên
24468,Trường THPT hiep hoa so 1,Trường THPT Hiệp Hòa số 1
24469,Trường THPT hiep hoa so 2,Trường THPT Hiệp Hòa số 2
24470,Trường THPT hiep hoa so 3,Trường THPT Hiệp Hòa số 3
24471,Trường THPT dan lap hiep hoa 1,Trường THPT dân lập Hiệp Hòa 1
24472,Trường THPT dan lap so 2 hiep hoa,Trường THPT Dân lập số 2 Hiệp Hòa
24473,tt gdtx dn h hiep hoa,TT GDTX-DN H. Hiệp Hòa
24474,Trường THPT hiep hoa so 4,Trường THPT Hiệp Hòa số 4
24475,Trường THCS va Trường THPT hiep hoa,Trường THCS-THPT Hiệp Hòa
24476,Trường THPT hiep hoa so 5,Trường THPT Hiệp Hòa số 5
24477,tt gdnn gdtx h hiep hoa,TT GDNN-GDTX H. Hiệp Hòa
24478,Trường THPT hiep hoa so 6,Trường THPT Hiệp Hoà số 6
24479,Trường THPT lang giang so 1,Trường THPT Lạng Giang số 1
24480,Trường THPT lang giang so 2,Trường THPT Lạng Giang số 2
24481,Trường THPT lang giang so 3,Trường THPT Lạng Giang số 3
24482,Trường THPT dan lap thai dao,Trường THPT Dân lập Thái Đào
24483,Trường THPT dan lap phi mo,Trường THPT Dân Lập Phi Mô
24484,tt gdtx dn h lang giang,TT GDTX-DN H.Lạng Giang
24485,tc nghe so 12 bo quoc phong,TC Nghề số 12 Bộ Quốc phòng
24486,tt gdnn gdtx h lang giang,TT GDNN-GDTX H.Lạng Giang
24487,Trường THPT viet yen so 1,Trường THPT Việt Yên số 1
24488,Trường THPT viet yen so 2,Trường THPT Việt Yên số 2
24489,Trường THPT ly thuong kiet,Trường THPT Lý Thường Kiệt
24490,th Trường THCS-THPT nguyen binh khiem,Trường THCS-THPT Nguyễn Bỉnh Khiêm
24491,tt gdtx dn h viet yen,TT GDTX-DN H.Việt Yên
24492,tt gdnn gdtx h viet yen,TT GDNN-GDTX H.Việt Yên
24493,Trường THPT yen dung so 1,Trường THPT Yên Dũng số 1
24494,Trường THPT yen dung so 2,Trường THPT Yên Dũng số 2
24495,Trường THPT yen dung so 3,Trường THPT Yên Dũng số 3
24496,Trường THPT dan lap yen dung,Trường THPT Dân lập Yên Dũng
24497,tt gdtx dn h yen dung,TT GDTX-DN H.Yên Dũng
24498,Trường THPT dan lap quang trung,Trường THPT dân lập Quang Trung
24499,Trường THPT tu thuc thai son,Trường THPT tư thục Thái Sơn
24500,tt gdnn gdtx h yen dung,TT GDNN-GDTX H.Yên Dũng
24501,Trường THPT quang trung,Trường THPT Quang Trung
24502,so gd dt bac ninh,Sở GD-ĐT Bắc Ninh
24503,phong gd dt tp bac ninh,Phòng GD-ĐT Tp Bắc Ninh
24504,Trường THPT chuyen bac ninh,Trường THPT Chuyên Bắc Ninh
24505,Trường THPT hoang quoc viet,Trường THPT Hoàng Quốc Việt
24506,Trường THPT han thuyen,Trường THPT Hàn Thuyên
24507,Trường THPT ly thuong kiet,Trường THPT Lý Thường Kiệt
24508,Trường THPT ly nhan tong,Trường THPT Lý Nhân Tông
24509,pt co nhieu cap hoc quoc te kinh bac,PT có nhiều cấp học Quốc tế Kinh Bắc
24510,Trường THPT nguyen du,Trường THPT Nguyễn Du
24511,tt gdtx bac ninh,TT GDTX Bắc Ninh
24512,cd nghe kinh te ky thuat bac ninh,CĐ Nghề Kinh tế Kỹ thuật Bắc Ninh
24513,cd nghe co dien xay dung bac ninh,CĐ Nghề Cơ điện Xây dựng Bắc Ninh
24514,Trường THPT ham long,Trường THPT Hàm Long
24515,tc nghe kinh te ky thuat bac ninh,"TC nghề Kinh tế, Kỹ thuật Bắc Ninh"
24516,Trường THPT bac ninh,Trường THPT Bắc Ninh
24517,cao dang thong ke,Cao Đẳng thống kê
24518,truong trung cap kinh te ky thuat thuong mai so 1,Trường Trung cấp Kinh tế - Kỹ thuật thương mại số 1
24519,cao dang cong nghiep bac ninh,Cao Đẳng Công nghiệp Bắc Ninh
24520,phong gd dt yen phong,Phòng GD-ĐT Yên Phong
24521,Trường THPT yen phong so 1,Trường THPT Yên Phong số 1
24522,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi
24523,tt gdtx yen phong,TT GDTX Yên Phong
24524,Trường THPT yen phong so 2,Trường THPT Yên Phong số 2
24525,tt gdnn gdtx yen phong,TT GDNN-GDTX Yên Phong
24526,phong gd dt que vo,Phòng GD-ĐT Quế Võ
24527,Trường THPT que vo so 1,Trường THPT Quế Võ số 1
24528,Trường THPT que vo so 2,Trường THPT Quế Võ số 2
24529,Trường THPT que vo so 3,Trường THPT Quế Võ số 3
24530,Trường THPT pho moi,Trường THPT Phố Mới
24531,tt gdtx so 2 tinh bac ninh,TT GDTX số 2 tỉnh Bắc Ninh
24532,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo
24533,tt gdnn gdtx bac ninh,TT GDNN-GDTX Bắc Ninh
24534,phong gd dt tien du,Phòng GD-ĐT Tiên Du
24535,Trường THPT tien du so 1,Trường THPT Tiên Du số 1
24536,Trường THPT tran nhan tong,Trường THPT Trần Nhân Tông
24537,tt gdtx tien du,TT GDTX Tiên Du
24538,Trường THPT nguyen dang dao,Trường THPT Nguyễn Đăng Đạo
24539,Trường THPT le quy don,Trường THPT Lê Quý Đôn
24540,tt gdnn gdtx tien du,TT GDNN-GDTX Tiên Du
24541,phong gd dt tu son,Phòng GD-ĐT Từ Sơn
24542,Trường THPT ly thai to,Trường THPT Lý Thái Tổ
24543,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
24544,Trường THPT tu son,Trường THPT Từ Sơn
24545,tt gdtx tu son,TT GDTX Từ Sơn
24546,Trường THPT nguyen van cu,Trường THPT Nguyễn Văn Cừ
24547,pt nang khieu tdtt olympic,PT năng khiếu TDTT Olympic
24548,cd kinh te ky thuat va thuy san,"CĐ Kinh tế, Kỹ thuật và Thủy sản"
24549,cd cong nghiep hung yen co so 2 ph dong ky tx tu son,CĐ Công nghiệp Hưng Yên  Ph. Đồng Kỵ-TX Từ Sơn
24550,truong pho thong ivs,Trường THPT IVS
24551,tt gdnn gdtx tu son,TT GDNN-GDTX Từ Sơn
24552,pho thong lien cap ly cong uan,Trường THPT liên cấp Lý Công Uẩn
24553,phong gd dt thuan thanh,Phòng GD-ĐT Thuận Thành
24554,Trường THPT thuan thanh so 1,Trường THPT Thuận Thành số 1
24555,Trường THPT thuan thanh so 2,Trường THPT Thuận Thành số 2
24556,Trường THPT thuan thanh so 3,Trường THPT Thuận Thành số 3
24557,Trường THPT thien duc,Trường THPT Thiên Đức
24558,tt gdtx thuan thanh,TT GDTX Thuận Thành
24559,Trường THPT kinh bac,Trường THPT Kinh Bắc
24560,phong gd dt gia binh,Phòng GD-ĐT Gia Bình
