,text,normed_text,clean_text
21458,trung cap mai linh,Trung Cấp Mai Linh,TC Mai Linh
21459,cao dang nghe so 08,Cao Đẳng Nghề Số 8,Cao Đẳng Nghề Số 8
21460,truong trung cap cong nghe luong thuc thuc pham hftc,Cao Đẳng LƯƠNG THỰC - THỰC PHẨM,Cao Đẳng LƯƠNG THỰC - THỰC PHẨM
21461,trung cap dien cong nghiep va xay dung fico,Trung Cấp Nghề Công Nghiệp Và Xây Dựng Fico,TC Nghề Công Nghiệp Và Xây Dựng Fico
21462,dhyd can tho,Đại Học Y Dược Cần Thơ,Đại Học Y Dược Cần Thơ
21463,dai hoc tai chanh,Đại Học Tài Chính Ngân Hàng Hà Nội,Đại Học Tài Chính Ngân Hàng Hà Nội
21464,dhydtphcm,Đại học Y Dược TP.HCM,Đại học Y Dược TP.HCM
21465,truong cao dang bach nghe hai phong hpc,Cao Đẳng Bách nghệ Hải Phòng,Cao Đẳng Bách nghệ Hải Phòng
21466,truong dhyd tp hcm,Đại học Y Dược TP.HCM,Đại học Y Dược TP.HCM
21467,cao dang y te can tho cmc,Cao Đẳng Y tế Cần Thơ,Cao Đẳng Y tế Cần Thơ
21468,hoc vjen canh sat,Học Viện Cảnh Sát Nhân Dân,Học Viện Cảnh Sát Nhân Dân
21469,truong trung cap cong an nhan dan 6,Trung cấp Cảnh sát nhân dân VI,TC Cảnh sát nhân dân VI
21470,dh kinhte tai chinh,Đại học Kinh tế Tài chính TP.HCM,Đại học Kinh tế Tài chính TP.HCM
21471,tropical semester can tho university,Đại học Cần Thơ,Đại học Cần Thơ
21472,k8 khoa sp am nhac dhsp nghe thuat tw,Đại học Sư phạm Nghệ thuật Trung Ương,Đại học Sư phạm Nghệ thuật Trung Ương
21473,cao dang y te can tho cmc,Cao Đẳng Y tế Cần Thơ,Cao Đẳng Y tế Cần Thơ
21474,cao dang suu pham long an,Cao Đẳng Sư phạm Long An,Cao Đẳng Sư phạm Long An
21475,truong trung cap y duoc mekong,Trung cấp Y Dược Mekong,TC Y Dược Mekong
21476,cdktkt,Cao Đẳng Kinh tế Kỹ thuật TP.HCM,Cao Đẳng Kinh tế Kỹ thuật TP.HCM
21477,topica vien dai hoc mo ha noi,Đại học Mở Hà Nội,Đại học Mở Hà Nội
21478,cao dang kinh te ky thuat pl,Cao Đẳng Kinh tế - Kỹ thuật Phú Lâm,Cao Đẳng Kinh tế - Kỹ thuật Phú Lâm
21479,cao dang kinh te_ ky thuat phu lam q6,Cao Đẳng Kinh tế - Kỹ thuật Phú Lâm,Cao Đẳng Kinh tế - Kỹ thuật Phú Lâm
21480,trung cap xay dung so 6,Trung cấp Xây dựng Hà Nội,TC Xây dựng Hà Nội
21481,dai hoc canh sat nhan dan t48 bo cong an,ĐẠI HỌC CẢNH SÁT NHÂN DÂN,ĐẠI HỌC CẢNH SÁT NHÂN DÂN
21482,truong cao dang cong nghiep cam pha,Cao Đẳng Công nghiệp Cẩm Phả,Cao Đẳng Công nghiệp Cẩm Phả
21483,dh y khoa pnt,Đại học Y khoa Phạm Ngọc Thạch,Đại học Y khoa Phạm Ngọc Thạch
21484,47 kt3 dhxd hn,Đại Học Xây Dựng Hà Nội,Đại Học Xây Dựng Hà Nội
21485,truong dai hoc tai chinh maketing,Đại học Tài chính,Đại học Tài chính
21486,da hoc truog dai hoc khih te tp,Đại học Kinh tế TP.HCM,Đại học Kinh tế TP.HCM
21487,truong th kinh te ky thuat can tho,Trung Cấp Kinh Tế Kỹ Thuật Thành Phố Cần Thơ,TC Kinh Tế Kỹ Thuật Thành Phố Cần Thơ
21488,dh pham van dong qngai,Đại học Phạm Văn Đồng,Đại học Phạm Văn Đồng
21489,lien thong dai hoc greenwich viet nam,Đại học Greenwich,Đại học Greenwich
21490,hcmutrans,Đại học Giao Thông Vận Tải TP.HCM,Đại học Giao Thông Vận Tải TP.HCM
21491,truong cdsptw nha trang,Cao Đẳng Sư Phạm Trung Ương Nha Trang,Cao Đẳng Sư Phạm Trung Ương Nha Trang
21492,trung cap nn ptnt hai duong,Trung cấp Nông nghiệp và Phát triển nông thôn Hải Dương,TC Nông nghiệp và Phát triển nông thôn Hải Dương
21493,truong cdkt cao thang,Cao Đẳng Kỹ thuật Cao Thắng,Cao Đẳng Kỹ thuật Cao Thắng
21494,truong cao dang y duoc hong duc go vap,Cao Đẳng Y dược Hồng Đức,Cao Đẳng Y dược Hồng Đức
21495,truong quan su qk9,quân sự quân khu 9,quân sự quân khu 9
21496,truong trung cap mien tay tpct,Trung cấp Miền Tây,TC Miền Tây
21497,rimt university,Đại Học RMIT,Đại Học RMIT
21498,dh hung vuong tp hcm khoa quan tri benh vien,Đại Học Hùng Vương TP.HCM,Đại Học Hùng Vương TP.HCM
21499,chuong trinh lien ket quoc te dh gtvt tp hcm,Đại học Giao thông Vận tải TP.HCM,Đại học Giao thông Vận tải TP.HCM
21500,t48 dai hoc canh sat nhan dan,ĐẠI HỌC CẢNH SÁT NHÂN DÂN,ĐẠI HỌC CẢNH SÁT NHÂN DÂN
21501,truong cao dang ky thuat ly tu trong_tan binh_tp ho chi minh,Cao Đẳng LÝ TỰ TRỌNG TP.HCM,Cao Đẳng LÝ TỰ TRỌNG TP.HCM
21502,cao dang ky thuat nguyen truong to,Cao Đẳng Kỹ Thuật Nguyễn Trường Tộ,Cao Đẳng Kỹ Thuật Nguyễn Trường Tộ
21503,dhgt,Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
21504,truong cao dang van hoa nghe thuat va du lich sg quan 12 tphcm,Cao Đẳng Văn hóa Nghệ thuật và Du lịch Sài Gòn,Cao Đẳng Văn hóa Nghệ thuật và Du lịch Sài Gòn
21505,cao dang saigontech,Cao Đẳng Sài Gòn,Cao Đẳng Sài Gòn
21506,truong dai hoc suu pham ky thuat hcm,Đại học Sư phạm Kỹ thuật TP.HCM,Đại học Sư phạm Kỹ thuật TP.HCM
21507,trung cap vien sot ret kst ct quy nhon,Viện Sốt Rét Ký Sinh Trùng Côn Trùng Quy Nhơn,Viện Sốt Rét Ký Sinh Trùng Côn Trùng Quy Nhơn
21508,truong dhkt tphcm,Đại học Kinh tế TP.HCM,Đại học Kinh tế TP.HCM
21509,truong cao dang nghe lilama2,Cao Đẳng Công Nghệ Quốc Tế Lilama 2,Cao Đẳng Công Nghệ Quốc Tế Lilama 2
21510,international school of business ueh isb,Đại Học Kinh Tế TP.HCM,Đại Học Kinh Tế TP.HCM
21511,ute university of technical education hcm dh su pham ky thuat ho chi minh,Đại học Sư phạm Kỹ thuật TP.HCM,Đại học Sư phạm Kỹ thuật TP.HCM
21512,cd cong dong hp,Cao Đẳng CỘNG ĐỒNG HẢI PHÒNG,Cao Đẳng CỘNG ĐỒNG HẢI PHÒNG
21513,trung cap quan y 2 quan khu 7,Cao Đẳng Quân Y 2,Cao Đẳng Quân Y 2
21514,saigon tourism vacational college,Cao Đẳng nghề Du lịch Sài Gòn,Cao Đẳng nghề Du lịch Sài Gòn
21515,ca odang cong nghiep ha noi,Cao Đẳng nghề Công nghiệp Hà Nội,Cao Đẳng nghề Công nghiệp Hà Nội
21516,khoa vat li dai hoc su pham ha noi,Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
21517,american polytechnic college cao dang viet my,Cao Đẳng Việt Mỹ,Cao Đẳng Việt Mỹ
21518,cao dang su pham mau giao tw3,Cao Đẳng Sư phạm Mầm non Trung Ương,Cao Đẳng Sư phạm Mầm non Trung Ương
21519,truong dai hoc cong nghep tp hcm,Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
21520,truong quan su quan khu 7,Quân Sự Quân Khu 7,Quân Sự Quân Khu 7
21521,dhcntp tphcm,Đại học Công nghiệp Thực phẩm TP.HCM,Đại học Công nghiệp Thực phẩm TP.HCM
21522,cao dang nghe so4 bqpcao dang xay dung thanh pho ho chi minh,Cao Đẳng nghề số 4 - Bộ Quốc Phòng,Cao Đẳng nghề số 4 - Bộ Quốc Phòng
21523,cao dang nghe so5,Cao Đẳng Nghề Số 5,Cao Đẳng Nghề Số 5
21524,dhsptdtt tphcm,Đại học Sư phạm Thể dục Thể thao TP.HCM,Đại học Sư phạm Thể dục Thể thao TP.HCM
21525,truong trung cap van thu luu tru tw ii,Trung cấp Văn thư lưu trữ Hà Nội,TC Văn thư lưu trữ Hà Nội
21526,daihocmo,Đại học Mở Hà Nội,Đại học Mở Hà Nội
21527,da nang vocantional training college,Cao Đẳng nghề Đà Nẵng,Cao Đẳng nghề Đà Nẵng
21528,bkhn,Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
21529,dh bach khoa kinh te kh xa hoi nhan van tphcm,Đại Học Bách Khoa TP.HCM,Đại Học Bách Khoa TP.HCM
21530,truong ha si quan xe tang 1,Hạ sĩ quan Xe tăng 1,Hạ sĩ quan Xe tăng 1
21531,cao dang nghe song da,Cao Đẳng nghề Sông Đà,Cao Đẳng nghề Sông Đà
21532,cao dang van hoa nghe thuat va du lich sai gon saigonact,Cao Đẳng văn hóa nghệ thuật và du lịch Sài Gòn,Cao Đẳng văn hóa nghệ thuật và du lịch Sài Gòn
21533,faculty of economics law nationality university ho chi minh city,Đại Học Kinh tế - Luật - Đại Học Quốc Gia TP.HCM,Đại Học Kinh tế - Luật - Đại Học Quốc Gia TP.HCM
21534,ngu van dhth tp hcm,Đại học Tổng hợp TP.HCM,Đại học Tổng hợp TP.HCM
21535,cdktdn,Cao Đẳng Kỹ Thuật Đồng Nai,Cao Đẳng Kỹ Thuật Đồng Nai
21536,tckt tay nam a,Trung Cấp Tây Nam Á,TC Tây Nam Á
21537,truong dai hoc sao do chi linh hai duong,Đại học Sao Đỏ,Đại học Sao Đỏ
21538,dh sai gon q5,Đại học Sài Gòn,Đại học Sài Gòn
21539,cdkt cao thang,Cao Đẳng Kỹ thuật Cao Thắng,Cao Đẳng Kỹ thuật Cao Thắng
21540,truongdaihoctravinh,Đại Học Trà Vinh,Đại Học Trà Vinh
21541,dai hoc mo ban cong tp hcm,Đại học Mở TP.HCM,Đại học Mở TP.HCM
21542,cd kte,Cao Đẳng KINH TẾ TP.HCM,Cao Đẳng KINH TẾ TP.HCM
21543,hdqt dai hoc hoa sen,Đại học Hoa Sen,Đại học Hoa Sen
21544,cantho university of medicine pharmacy,Đại học Y Dược Cần Thơ,Đại học Y Dược Cần Thơ
21545,cdkt vinhempich,Sĩ quan Kỹ thuật Quân sự Vinhempich,Sĩ quan Kỹ thuật Quân sự Vinhempich
21546,cao dang cong nghe va quan tri sonadezi,Cao Đẳng Công nghệ và Quản trị Sonadezi,Cao Đẳng Công nghệ và Quản trị Sonadezi
21547,truong trung cap canh sat nhan dan vi t51,trung cấp cảnh sát nhân dân VI,TC cảnh sát nhân dân VI
21548,dh remit,Đại học RMIT,Đại học RMIT
21549,cao dang bc cong nghe qtdn,Cao Đẳng Bán Công Công nghệ và Quản trị Doanh nghiệp,Cao Đẳng Bán Công Công nghệ và Quản trị Doanh nghiệp
21550,cao dang nghe nguyen truong to,Cao Đẳng Kỹ Thuật Nguyễn Trường Tộ,Cao Đẳng Kỹ Thuật Nguyễn Trường Tộ
21551,truong dai hoc ki thuat cong nge tp hcm_hutech,Đại Học Công nghệ TP.HCM,Đại Học Công nghệ TP.HCM
21552,truong trung cap nghe cu chi,Trung Cấp Nghề Củ Chi,TC Nghề Củ Chi
21553,cao dang bc cong nghe va quan tri doanh nghiep ctim,Cao Đẳng Công nghệ và Quản trị doanh nghiệp,Cao Đẳng Công nghệ và Quản trị doanh nghiệp
21554,dai hc xay dung,Đại Học Xây Dựng Hà Nội,Đại Học Xây Dựng Hà Nội
21555,cao dang nghe dau khi pvmtc,Cao Đẳng DẦU KHÍ,Cao Đẳng DẦU KHÍ
21556,dai hoc van hoa tp hcm vhs,Đại học Văn hóa TP.HCM,Đại học Văn hóa TP.HCM
21557,dai hoc canh sat cand,ĐẠI HỌC CẢNH SÁT NHÂN DÂN,ĐẠI HỌC CẢNH SÁT NHÂN DÂN
21558,cao dang nghe mo huu nghi viet xo tkv,Cao Đẳng Than - Khoáng Sản Việt Nam,Cao Đẳng Than - Khoáng Sản Việt Nam
21559,dh giao thong van tai tp hcm gts,Đại học Giao Thông Vận Tải TP.HCM,Đại học Giao Thông Vận Tải TP.HCM
21560,trung cap ghe hung vuong,Cao Đẳng Hùng Vương Hà Nội,Cao Đẳng Hùng Vương Hà Nội
21561,haiduong central college of phamarcy,Cao Đẳng Dược Trung Ương Hải Dương,Cao Đẳng Dược Trung Ương Hải Dương
21562,kien giang community college,Cao Đẳng Kiên Giang,Cao Đẳng Kiên Giang
21563,dhkhxhnv sai gon,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
21564,cd xay dung so 1 ctc1,Cao Đẳng Xây dựng Số 1,Cao Đẳng Xây dựng Số 1
21565,11cntt dai hoc su pham da nang,Đại học Sư phạm Đà Nẵng - Đại học Đà Nẵng,Đại học Sư phạm Đà Nẵng - Đại học Đà Nẵng
21566,tung hoc cdcntt tphcm,Cao Đẳng Công Nghệ Thông Tin TP.HCM,Cao Đẳng Công Nghệ Thông Tin TP.HCM
21567,daihocnongnghiep,Học viện Nông nghiệp Việt Nam,Học viện Nông nghiệp Việt Nam
21568,truong dai hoc tay do _tay do university,Đại Học Tây Đô,Đại Học Tây Đô
21569,university of economic and technical industries,Đại học Kinh tế Kỹ thuật Công nghiệp,Đại học Kinh tế Kỹ thuật Công nghiệp
21570,cd yte bd,Cao Đẳng Y Tế Bình Dương,Cao Đẳng Y Tế Bình Dương
21571,truong si quan chi huy ky thuat thong tin,Sỹ Quan Chỉ Huy Kỹ Thuật Thông Tin,Sỹ Quan Chỉ Huy Kỹ Thuật Thông Tin
21572,truong cao dang hang hai i martime collgce no 1,Cao Đẳng Hàng Hải 1,Cao Đẳng Hàng Hải 1
21573,cet truong kinh te du lich thanh pho ho chi minh,Trung Cấp Kinh Tế,TC Kinh Tế
21574,truong trung cap y te tinh brvt,Trung Cấp Y tế Bà Rịa Vũng tàu,TC Y tế Bà Rịa Vũng tàu
21575,kt121 dh hoa sen,Đại học Hoa Sen,Đại học Hoa Sen
21576,Cdgtvt 3,Cao Đẳng Giao thông Vận tải Trung ương 3,Cao Đẳng Giao thông Vận tải Trung ương 3
21577,truong cao dang kinh te ki thuat vintex,Cao Đẳng Công Nghệ TP.HCM,Cao Đẳng Công Nghệ TP.HCM
21578,truong quan su quan khu 7,Quân Sự Quân Khu 7,Quân Sự Quân Khu 7
21579,vien ky thuat hat nhan va vat ly moi truong dai hoc bach khoa ha noi,Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
21580,dhyk pham ngoc thach,Đại Học Y Khoa Phạm Ngọc Thạch,Đại Học Y Khoa Phạm Ngọc Thạch
21581,trung cap thuong mai tw5,Trung cấp Thương mại Trung ương 5,TC Thương mại Trung ương 5
21582,ho chi minh city university of enocomics,Đại học Kinh tế TP.HCM,Đại học Kinh tế TP.HCM
21583,univer nha trang,Đại học Nha Trang,Đại học Nha Trang
21584,ddhsp ha noi,Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
21585,hvhk,Học viện Hàng không Việt Nam,Học viện Hàng không Việt Nam
21586,quan tri khach san hue huetc,Cao Đẳng Du lịch Huế,Cao Đẳng Du lịch Huế
21587,daihoc giaothong vantai,Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
21588,vien quan tri kinh doanh fsb dh fpt,Đại Học FPT,Đại Học FPT
21589,khoa hoc xhva nv,Đại học Khoa học Xã hội và Nhân văn,Đại học Khoa học Xã hội và Nhân văn
21590,bktphcm,Đại Học Bách Khoa TP.HCM,Đại Học Bách Khoa TP.HCM
21591,cao dang bach khoa tp hcm,Cao Đẳng Bách Khoa TP.HCM,Cao Đẳng Bách Khoa TP.HCM
21592,dh ql kd ha noi,Đại học Kinh doanh và Công nghệ Hà Nội,Đại học Kinh doanh và Công nghệ Hà Nội
21593,dhcntp tphcm,Đại học Công nghiệp Thực phẩm TP.HCM,Đại học Công nghiệp Thực phẩm TP.HCM
21594,dai hoc cong nhiep thuc pham tp hcm,Đại học Công nghiệp Thực phẩm TP.HCM,Đại học Công nghiệp Thực phẩm TP.HCM
21595,dh mo ban cong tphcm,ĐẠI HỌC MỞ TP.HCM,ĐẠI HỌC MỞ TP.HCM
21596,ho chi minh city university of natural sciences hcmuns,Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM,Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
21597,truong cao dang van hoa nghe thuat va du lich nha trang nha trang courism college,Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Nha Trang,Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Nha Trang
21598,hungvuong university,Đại Học Hùng Vương TP.HCM,Đại Học Hùng Vương TP.HCM
21599,truong si quan chi huy ki thuat khong quan,Sĩ quan không quân,Sĩ quan không quân
21600,dh csnd tphcm,ĐẠI HỌC CẢNH SÁT NHÂN DÂN,ĐẠI HỌC CẢNH SÁT NHÂN DÂN
21601,truong dhdt,Đại học Đồng Tháp,Đại học Đồng Tháp
21602,dh csnd tphcm,Đại học Cảnh sát Nhân dân,Đại học Cảnh sát Nhân dân
21603,cao dang gtvt twiii,Cao Đẳng Giao thông Vận tải Trung ương 3,Cao Đẳng Giao thông Vận tải Trung ương 3
21604,economy hcm,Đại học Kinh tế TP.HCM,Đại học Kinh tế TP.HCM
21605,cdsp qt,Cao Đẳng sư phạm Quảng Trị,Cao Đẳng sư phạm Quảng Trị
21606,cdxd2,Cao Đẳng Xây dựng Số 2,Cao Đẳng Xây dựng Số 2
21607,dai hoc luat tra vinh 2012 2016,Đại học Trà Vinh,Đại học Trà Vinh
21608,university of pharmacy and medicine at hochiminh city,Đại học Y Dược TP.HCM,Đại học Y Dược TP.HCM
21609,cao dang su pham ba ria vung tau c52,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu
21610,dh khoa hoc xh nv,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia Hà Nội,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia Hà Nội
21611,huflit khoa kttc,Đại học Ngoại ngữ - Tin học TP.HCM,Đại học Ngoại ngữ - Tin học TP.HCM
21612,truong day nghe nau an viet uc,Dạy Nấu Ăn Việt Úc,Dạy Nấu Ăn Việt Úc
21613,Hcmuc 10,ĐẠI HỌC VĂN HÓA TP.HCM,ĐẠI HỌC VĂN HÓA TP.HCM
21614,cao dang cong nghiep 4 go vap,Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
21615,cao dang ban cong cong nghe quan tri doanh nghiep,Cao Đẳng Bán công Công nghệ và Quản trị doanh nghiệp,Cao Đẳng Bán công Công nghệ và Quản trị doanh nghiệp
21616,truong quan su quan khu 7,Quân Sự Quân Khu 7,Quân Sự Quân Khu 7
21617,daihocxaydung,Đại Học Xây Dựng Hà Nội,Đại Học Xây Dựng Hà Nội
21618,foregn trade university,Đại học Ngoại thương,Đại học Ngoại thương
21619,dh y duoc tp hcm university of medicine and pharmacy at hcmc,Đại học Y Dược TP.HCM,Đại học Y Dược TP.HCM
21620,dai hoc xdhn,Đại Học Xây Dựng Hà Nội,Đại Học Xây Dựng Hà Nội
21621,cao dang su pham ba ria vung tau c52,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu
21622,cao dang ba ria vung tau,Cao Đẳng Bà Rịa-Vũng Tàu,Cao Đẳng Bà Rịa-Vũng Tàu
21623,truong dhktkt binh duong,Đại học Kinh tế - Kỹ Thuật Bình Dương,Đại học Kinh tế - Kỹ Thuật Bình Dương
21624,cdqtkd,Cao Đẳng đào tạo ngành quản trị kinh doanh,Cao Đẳng đào tạo ngành quản trị kinh doanh
21625,dh cong nghiep 4 go vap tp hcm,Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
21626,truong dai hoc dong ri,Đại Học Đông Ri,Đại Học Đông Ri
21627,bhms,Kinh doanh và Quản lý Khách sạn,Kinh doanh và Quản lý Khách sạn
21628,hoc vien am nhac quoc gja,Học Viện Âm Nhạc Quốc Gia Việt Nam,Học Viện Âm Nhạc Quốc Gia Việt Nam
21629,dhnh tphcm,Đại Học Ngân Hàng TP.HCM,Đại Học Ngân Hàng TP.HCM
21630,dai hoc mo rong tp hcm,ĐẠI HỌC MỞ TP.HCM,ĐẠI HỌC MỞ TP.HCM
21631,su pham mgtu3,Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
21632,dh n0ng nghiep ha n0i,Đại học Nông nghiệp Hà Nội,Đại học Nông nghiệp Hà Nội
21633,truong cao dang van hoa nghe thuat dak lac,Cao Đẳng Văn Hoá Nghệ Thuật Đắk Lắk,Cao Đẳng Văn Hoá Nghệ Thuật Đắk Lắk
21634,truong si quan chi huy ky thuat quan su,Đại học Trần Đại Nghĩa,Đại học Trần Đại Nghĩa
21635,ho chi minh city industry and trade college hitc,Cao Đẳng Công Thương TP.HCM,Cao Đẳng Công Thương TP.HCM
21636,ute hcm city,Đại học Sư phạm Kỹ thuật TP.HCM,Đại học Sư phạm Kỹ thuật TP.HCM
21637,dhkttphcm,Đại học Công nghiệp Thực phẩm TP.HCM,Đại học Công nghiệp Thực phẩm TP.HCM
21638,faculty of foreign languages thai nguyen university,Đại học Thái Nguyên,Đại học Thái Nguyên
21639,dhkt da nang,Đại học Kinh tế - Đại học Đà Nẵng,Đại học Kinh tế - Đại học Đà Nẵng
21640,cdsp college department,Cao Đẳng Sư phạm Trung ương,Cao Đẳng Sư phạm Trung ương
21641,truong cao dang nghe gtvt tw3,Cao Đẳng Giao thông Vận tải Trung ương 3,Cao Đẳng Giao thông Vận tải Trung ương 3
21642,fpoly da nang,Cao Đẳng FPT Polytechnic Đà Nẵng,Cao Đẳng FPT Polytechnic Đà Nẵng
21643,dai hoc sai gonn,Đại học Sài Gòn,Đại học Sài Gòn
21644,dai hoc khoa hoc xa hoi va nhan van co so linh trung,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM,Đại học Khoa học Xã hội và Nhân văn – Đại học Quốc gia TP.HCM
21645,dai hoc tong hop t p hcm,Đại học Tổng hợp TP.HCM,Đại học Tổng hợp TP.HCM
21646,dai hoc dongry,Đại Học Đông Ri,Đại Học Đông Ri
21647,daihocthuongmai,Đại học Thương mại,Đại học Thương mại
21648,truong dai hoc su pham the duc the thao tp ho chi minhda,Đại học Sư phạm Thể dục Thể thao TP.HCM,Đại học Sư phạm Thể dục Thể thao TP.HCM
21649,isb university of economics ho chi minh city,Viện Đào tạo Quốc tế,Viện Đào tạo Quốc tế
21650,truong trung cap nghe nau an va nghiep vu khach san ha noi,Trung Cấp Nghề Nấu Ăn - Nghiệp Vụ Du Lịch Và Thời Trang Hà Nội,TC Nghề Nấu Ăn - Nghiệp Vụ Du Lịch Và Thời Trang Hà Nội
21651,cdktkt quang nam,Cao Đẳng Kinh tế - Kỹ thuật Quảng Nam,Cao Đẳng Kinh tế - Kỹ thuật Quảng Nam
21652,truong cao dang nghe lilama 1,Cao Đẳng nghề Lilama-1,Cao Đẳng nghề Lilama-1
21653,trung cap csgt,Trung Cấp Cảnh Sát Giao Thông,TC Cảnh Sát Giao Thông
21654,ueh isb,Viện Đào tạo Quốc tế,Viện Đào tạo Quốc tế
21655,cao dang thuong mai va du lich ha noi hcct,Cao Đẳng Thương mại và Du lịch Hà Nội,Cao Đẳng Thương mại và Du lịch Hà Nội
21656,truong dai hoc cuu long mekong university,Đại học Cửu Long,Đại học Cửu Long
21657,dhmo dia chat,Đại học Mỏ - Địa chất,Đại học Mỏ - Địa chất
21658,hvqy vietnam military medical university,Học viện Quân Y,Học viện Quân Y
21659,hvqy,Học viện Quân Y,Học viện Quân Y
21660,cao dang nghe duyen hai hai phong,Cao Đẳng Duyên Hải,Cao Đẳng Duyên Hải
21661,hoc vien ktqs,Học Viện Kỹ thuật Quân sự,Học Viện Kỹ thuật Quân sự
21662,dai hoc tong hop ha noi university of hanoii,Đại Học Tổng Hợp Hà Nội,Đại Học Tổng Hợp Hà Nội
21663,truong si quan luc quan1,Sĩ quan Lục quân 1,Sĩ quan Lục quân 1
21664,truong trung cap y duoc tue tinh ha noi,Trung cấp Y Dược Tuệ Tĩnh Hà Nội,TC Y Dược Tuệ Tĩnh Hà Nội
21665,cao dang nghe thai thinh,Cao Đẳng nghề Công nghiệp Hà Nội,Cao Đẳng nghề Công nghiệp Hà Nội
21666,truong sy quan chi huy ky thuat thong tin,Sỹ Quan Chỉ Huy Kỹ Thuật Thông Tin,Sỹ Quan Chỉ Huy Kỹ Thuật Thông Tin
21667,dai hoc quoc gja ha noi,Đại học Quốc gia Hà Nội,Đại học Quốc gia Hà Nội
21668,dai hoc mo dia chat cam pha port quang ninh vietnam,Đại Học Mỏ Địa Chất,Đại Học Mỏ Địa Chất
21669,cao dang vietronic hai phong,Cao Đẳng Công nghệ Viettronics,Cao Đẳng Công nghệ Viettronics
21670,dhktcn thai nguyen,Đại học Kỹ thuật Công nghiệp Thái Nguyên,Đại học Kỹ thuật Công nghiệp Thái Nguyên
21671,dai hoc kt qtkd dhtn,Đại học Thái Nguyên,Đại học Thái Nguyên
21672,dai hoc dong ri,Đại Học Đông Ri,Đại Học Đông Ri
21673,dai hoc thai binh dtb,Đại học Thái Bình,Đại học Thái Bình
21674,khoa tai chinh ngan hang cua truong dai hoc nguyen tat thanh,Đại học Nguyễn Tất Thành,Đại học Nguyễn Tất Thành
21675,nonglamtphcm,Đại Học Nông Lâm,Đại Học Nông Lâm
21676,cao dang nghe lilama2,Cao Đẳng Công Nghệ Quốc Tế Lilama 2,Cao Đẳng Công Nghệ Quốc Tế Lilama 2
21677,truong cao dang csnd ii,Cao Đẳng Cảnh Sát Nhân Dân 2,Cao Đẳng Cảnh Sát Nhân Dân 2
21678,cao dang nghe py,Cao Đẳng Nghề Phú Yên,Cao Đẳng Nghề Phú Yên
21679,dai hoc brvt,Đại học Bà Rịa - Vũng Tàu,Đại học Bà Rịa - Vũng Tàu
21680,trung cap kinh te ky thuat quan 12,Trung cấp Kinh tế Kỹ thuật,TC Kinh tế Kỹ thuật
21681,cao dang ki that cao thang,Cao Đẳng Kỹ thuật Cao Thắng,Cao Đẳng Kỹ thuật Cao Thắng
21682,cao dang gao thong van tai 2,Cao Đẳng Nghề Giao Thông Vận Tải Trung Ương 2,Cao Đẳng Nghề Giao Thông Vận Tải Trung Ương 2
21683,ueh isb_master of business,Đại Học Kinh Tế TP.HCM,Đại Học Kinh Tế TP.HCM
21684,daih hoc binh duong,Đại học Bình Dương,Đại học Bình Dương
21685,cao dang knh te doi ngoai dai hoc kinh te tp hcm,Cao Đẳng Kinh Tế Đối Ngoại,Cao Đẳng Kinh Tế Đối Ngoại
21686,Trường THPT nguyen trai ba dinh,Trường THPT Nguyễn Trãi-Ba Đình,THPT Nguyễn Trãi-Ba Đình
21687,Trường THPT phan dinh phung,Trường THPT Phan Đình Phùng,THPT Phan Đình Phùng
21688,Trường THPT pham hong thai,Trường THPT Phạm Hồng Thái,THPT Phạm Hồng Thái
21689,th Trường THCS-THPT thuc nghiem khoa hoc giao duc,Trường THCS-THPT Thực nghiệm Khoa học Giáo dục,THCS-THPT Thực nghiệm Khoa học Giáo dục
21690,Trường THPT dinh tien hoang ba dinh,Trường THPT Đinh Tiên Hoàng-Ba Đình,THPT Đinh Tiên Hoàng-Ba Đình
21691,Trường THPT hoang long,Trường THPT Hoàng Long,THPT Hoàng Long
