text,normed_text
Đại Học Ngoại Ngữ - Đại Học Huế,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
đại học sư phạm kỉ thuật,ĐH Sư phạm Kỹ thuật TP.HCM
đại học công ngiệp việt hung,ĐH Công nghiệp Việt Hung
"Trường THPT ĐOÀN THỊ ĐIỂM, BẾN TRE",THPT Đoàn Thị Điểm
cao đẳng sp ninh thuận,CĐ Sư Phạm Ninh Thuận
cd cong nghiep hung yen co so 2 ph dong ky tx tu son,CĐ Công nghiệp Hưng Yên
"THPT Cao Lộc, Cao Lộc, Lạng Sơn",THPT Cao Lộc
đh luật tp.hcm (hcmc university of law),ĐH Luật TP.HCM
Trương THPT Ngyễn Thái Bình Quận Tân Bình TP HCM,THPT Nguyễn Thái Bình
cao đẳng cộng đồng Vĩnh Long,CĐ Vĩnh Long
cao dang yte binh duomg,CĐ Y Tế Bình Dương
Trường THCS-THPT m v lo mo no xop,THCS-THPT M.V.Lô-mô-nô-xốp
Trường THPT hoang thai hieu,THPT Hoàng Thái Hiếu
Trung hoc pho thong Nhi Truong,THPT Nhị Trường
cao dang bac khoa ha noi,CĐ nghề Bách Khoa Hà Nội
đại học lê quý đôn hà nội,HV Kỹ thuật Quân sự
CAO DANG NGHE CONG NGHE VA NONG LAM NAM BO,CĐ Công nghệ Nông Lâm Nam Bộ
đại học y dược hồ chí minh,ĐH Y Dược TP.HCM
Trường THPT Tân Dân,THPT Tân Dân
đại học bách khoa hn ( ha noi university of technology ),ĐH Bách khoa Hà Nội
Chuyên ban Cẩm Phả,THPT Cẩm Phả
trung học phổ thông lộc an,THPT Lộc An
đại học kiến trúc nam sơn,ĐH Kiến trúc Hà Nội
Cao Đẳng Nghề Mỏ Hữu Nghị Việt Xô - TKV,CĐ Nghề than khoáng sản Việt Nam
DHkinh te ky thuat cong nghiep,ĐH Kinh tế Kỹ thuật Công nghiệp
cao dang su pham lao cai,CĐ Sư phạm Lào Cai
VTT,ĐH Võ Trường Toản
Cao Đẳng Sư Phạm Lạng Sơn,CĐ Sư phạm Lạng Sơn
cao dang ngke hd,CĐ Nghề Hải Dương
cd su pham hb,CĐ Sư phạm Hòa Bình
PTTH Nguuyễn Duy Hiệu,THPT Nguyễn Duy Hiệu
cao đẳng y tam ky quang nam,CĐ Y tế Quảng Nam
đại học đà lạt-lâm đồng,ĐH Đà Lạt
Trường TT GDTX Phổ Yên,GDNN-GDTX Phổ Yên
cao dang kt kt vinatex,CĐ Công Nghệ TP.HCM
truong Trường THPT tu thuc truong dinh,THPT Tư thục Trương Định
THPT Vũ Văn Hiếu-Hạ Long-Quảng Ninh - Việt Nam,THPT Vũ Văn Hiếu
cao dang su pham ha tax,CĐ Sư Phạm Hà Tây
Trường phổ thông trung học Hàn Thuyên,THPT Hàn Thuyên
Trường THPT a nghia hung,THPT A Nghĩa Hưng
Trung học PT Cần Đước,THPT Cần Đước
Trường Đại học Lao động - Xã hội / Cơ sở Sơn Tây,ĐH Lao động Xã hội
PTTH Đông Đô-TP.HCM,THPT Dân Lập Đông Đô
THPT Thiệu Hóa,THPT Thiệu Hoá
đh y haloi,ĐH Y Hà Nội
cao đẳng kinh tế kỹ thuật hn,CĐ Kinh tế Kỹ Thuật Hà Nội
trung học phổ thông Hàn Thuyên,THPT Hàn Thuyên
cao dang cong nghiep hoa chat phu tho,CĐ Công nghiệp Hóa chất
trung học phổ thông diễn châu 2,THPT Diễn Châu
"Trường THPT Truongxuan,thapmuoi ,dongthap",THPT Trường Xuân
cao đẳng công nghiêp việt đưc,CĐ Công nghiệp Việt Đức
Trường THCS TRAN HUNG DAO,THPT Trần Hưng Đạo
Trường Trung học Phổ thông An Lạc,THPT An Lạc
tt gdnn gdtx huyen can duoc,GDNN-GDTX Cần Đước
truong dai hoc ngoai thuong cs2,ĐH Ngoại Thương
truong trung hoc pho thong so 3  tuy phuoc,THPT Tuy Phước
đại học kt-đh qghn,ĐH Kinh tế - ĐH Quốc gia Hà Nội
trường THPT LÊ HỮU TRÁC,THPT Lê Hữu Trác
cao dang cong ngjep quoc phog,CĐ Công nghiệp Quốc phòng
Trường THPT Lê Xoay,THPT Lê Xoay
đai hoc hai phong,ĐH Hải Phòng
THPT Trần Phú Da Nang,THPT Trần Phú
truong Trường THPT ban cong phu ninh,THPT Bán Công Phù Ninh
thpt phuoc buu,THPT Phước Bửu
tt gdnn gdtx h na ri tinh bac kan,GDNN-GDTX Na Rì
THPT Lương Phú,THPT Lương Phú
THPT số 4 Văn Bàn,THPT Văn Bàn
TCDSP lao cai,CĐ SƯ PHẠM LAO CAI
đh khxhvanv,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
THPT Nguyễn Thượng Hiền- Đà Nẵng city,THPT Nguyễn Thượng Hiền
cao dang dong bac,CĐ Nông lâm Đông Bắc
"THPT  Tư Nghĩa, Tư Nghĩa, Quảng Ngãi",THPT Tư Nghĩa
Le Thanh Ton High School - District 7,THPT Lê Thánh Tôn
Trường THPT Phạm Văn Nghị,THPT Phạm Văn Nghị
Trường THPT Trần Phú - TP Đà Nẵng,THPT Trần Phú
Trường cao đẳng nghề Cơ điện và Xây dựng Bắc Ninh - ĐTN,CĐ Cơ điện và Xây Dựng Bắc Ninh
ptdt noi tru Trường THPT tinh ha giang,THPT DTNT Hà Giang
"Victoria University of Technology, Melbourne, Australia",ĐH Victoria
cao dang cong nghe nong lam dong bac,CĐ Công nghệ và Nông lâm Đông Bắc
cao đẳng xây dựng nam đinh,CĐ Xây Dựng Nam Định
Đại học Hoa Lư Ninh Bình,ĐH Hoa Lư
đà nẵng bách khoa đại học,ĐH Bách Khoa - ĐH Đà Nẵng
 UET,ĐH Công nghệ
Cao dang ktkh dn,CĐ Kinh tế Kế hoạch Đà Nẵng
Trường THPT Trần Phú - Hoàn Kiếm,THPT Trần Phú
cao đẳng  ytế quảng nam,CĐ Y tế Quảng Ninh
HCE - Đại học Kinh tế Huế,ĐH Kinh Tế - ĐH Huế
Trung học phổ thông Dân lập Thanh Bình,THPT Thành Đông
đại học thuỷ lợi cơ sở ii tp hồ chí minh,ĐH Thủy Lợi
đại học mĩ thuât,ĐH Mỹ thuật TP.HCM
đại học công nghiêp hn,ĐH Công nghiệp Hà Nội
Trường THPT Quảng Hà,THPT Quảng Hà
Truog cao dang y te dong thap,CĐ Y tế Đồng Tháp
THPT Uông Bí QN,THPT Uông Bí
cao đẳng cơ điện và nông nghiệp nam bộ,CĐ Cơ Điện Và Nông Nghiệp Nam Bộ
đh xây dưng hn,ĐH Xây Dựng Hà Nội
trung tam gdnn gdtx huyen ly son,GDNN-GDTX Lý Sơn
đại học kỹ thuật công nghiẹp,ĐH Kinh tế Kỹ thuật Công nghiệp
Truong PTTH Nha Be,THPT Phước Kiển
"University of Economics, Ho Chi Minh City",ĐH Kinh tế TP.HCM
Trường Cao đẳng Văn hóa Nghệ thuật Nghệ An,CĐ Văn hóa Nghệ thuật Nghệ An
Lop 12c Truong Trường THPT Nguyen Hue,THPT Nguyễn Huệ
Trường Đại Học Tài Nguyên Và Môi Trường TP.HCM Cơ Sở 2,ĐH Tài Nguyên Môi Trường TP.HCM
THPT Vinh Linh,THPT Vĩnh Linh
FPT,ĐH FPT
Cao Dang Y Te Can Tho-CMC,CĐ Y tế Cần Thơ
cao dang su fam ha tay,CĐ Sư Phạm Hà Tây
THPT Chuyên Tuyên Quang,THPT Chuyên Tuyên Quang
THPT  Hòn Gai - Quảng Ninh,THPT Hòn Gai
Trường THPT Hiếu Tử_Tiểu Cần_Trà Vinh.,THPT Hiếu Tử
cao dang ye te lam dong,CĐ Y Tế Lâm Đồng
cao dang lai chau,CĐ Cộng đồng Lai Châu
THPT Hoàng Quốc Việt,THPT Hoàng Quốc Việt
đh tài chình quản trị kinh doanh,ĐH Tài chính Quản trị kinh doanh
THPT mèo vac,THPT Mèo Vạc
đại học sư phạm tp.hcm & đại học bách khoa tp.hcm,ĐH Sư phạm TP.HCM
Đai học Tôn Đức Thắng cơ sở Nha Trang,ĐH Tôn Đức Thắng
cao dang nghe simco song da,CĐ Nghề Sóc Trăng
cao đẳng y dược pasteur cơ sơ tphcm,CĐ Y DƯỢC PASTEUR
cao dang cong gnhiep ha noi,CĐ nghề Công nghiệp Hà Nội
"Truong THPT Nguyen CHi Thanh(Quang Dien, TT - Hue)",THPT Nguyễn Chí Thanh
Trường THPT Lương Ngọc Quyến,THPT Lương Ngọc Quyến
THPT Hung Vuog,THPT Hùng Vương
College of Commerce & Tourism,CĐ Thương mại Du Lịch
đh kinh tế qd hà nội,ĐH Kinh Tế Quốc Dân
ĐH Ngân Hàng,ĐH Ngân Hàng TP.HCM
"Trường THPT Trường Chinh,ninh thuan",THPT Trường Chinh
"THPT HAN THUYEN, PHU NHUAN",THPT Hàn Thuyên
cao đẳng công nghiệp 2 hn,CĐ nghề Công nghiệp Hà Nội
Trung hoc pho thong trung an,THPT Trung An
tc y duoc ton that tung,TC Y Dược Tôn Thất Tùng
đại học tài chinh kếtoans,ĐH Tài chính Kế toán
Trường THPT Trường thịnh,THPT Trường Thịnh
cao đẳng công thương tp hcm,CĐ Công Thương TP.HCM
cd cơ điện thủy lợi,CĐ Cơ điện và Thủy lợi
Trường PTTH Trưng Vương - Quy Nhơn,THPT Trưng Vương
 HUC,ĐH Văn hóa Hà Nội
pho thong vung tau,THPT Vũng Tàu
truong DH Tai Chinh-Ke Toan,ĐH Tài chính Kế toán
đhkt công nghê hcm,ĐH Kỹ Thuật Công Nghệ TP.HCM
pho thong trung hoc A Hai Hau,THPT Trần Quốc Tuấn
trung hoc pho thong tran nhan tong,THPT Trần Nhân Tông
cao đẳng kinh tế từ sơn - bắc ninh,CĐ Kinh Tế Kỹ Thuật và Thủy Sản
ĐH Y Kĩ thuật Đà Nẵng,ĐH Kỹ thuật Y Dược Đà Nẵng
Trường trung cấp Cơ Điện Đăk Lăk,CĐ Kỹ thuật Đắk Lắk
Trường THPT chj ijnh,THPT Chí Linh
cao đẳng y dược pastuer tp.hcm,CĐ Y DƯỢC PASTEUR
Trường Trung Cấp Nghề Vĩnh Long,CĐ nghề Vĩnh Long
Trường THPT Huỳnh Văn Sâm - Cái Bè - TG,THPT Huỳnh Văn Sâm
truong Trường THPT yen chau,THPT Yên Châu
trung học phổ thông hàm thuận nam,THPT Hàm Thuận Nam
cao dang truyen hinh 1 ha nam,CĐ Phát Thanh Truyền Hình
Học Viện Kĩ Thuật Hậu Cần CAND,ĐH Kỹ thuật Hậu cần Công an Nhân dân
Trường THPT nguyen viet hong,THPT Nguyễn Việt Hồng
"THPT Nguyễn Huệ, Vũng Tàu",THPT Nguyễn Huệ
Trường THPT chau van liem,THPT Châu Văn Liêm
truong DH Hong Duc,ĐH Hồng Đức
Trường THPT Chu Văn An Quảng Ngãi,THPT Chu Văn An
Đại Học Hải Phòng,ĐH Hải Phòng
trường học viện ngoại giao,HV Ngoại giao
Trường PTDT NT Tỉnh,THPT DTNT Bắc Giang
DTNT THPT Tra Vinh,THPT DTNT Trà Vinh
THPT Nguyễn Văn Nguyễn,THPT NGUYỄN VĂN NGUYỄN
đại học siêu phạm tp hcm,ĐH Sư phạm TP.HCM
Dai hoc Can Tho / Đại học Cần Thơ,ĐH Cần Thơ
đại học sư phạm kỹ thuật hưng yên cơ sở 2,ĐH Sư Phạm Kỹ Thuật Hưng Yên
"THPT Phước Long, TX Phước Long, Bình Phước",THPT Phước Long
Cao Đẳng KT-CN VẠN XUÂN.,CĐ Kỹ Thuật Công Nghệ Vạn Xuân
THPT chuyên Lê Quý Đôn Đà Nẵng,THPT chuyên Lê Quý Đôn
THPT DOAN KET,THPT Đoàn Kết
Trường THPT Phụ Dực,THPT Phụ Dực
THPT Chuyen Nguyen Tat Thanh Kon Tum,THPT Chuyên Nguyễn Tất Thành
đại học kho học xã hội & nhân văn hà nội,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia Hà Nội
Thcs-Thpt Lạc Hồng,THCS-THPT Lạc Hồng
THPT Nhu Xuan,THPT Như Xuân
đại học công nghệ sg,ĐH Công Nghệ Sài Gòn
truong khoa hoc xa hoi va nhan van,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
"đhsp hoa đông, thượng hải",ĐH Sư phạm Hoa Đông
PTTH Giao Thuy A,THPT Giao Thủy
"Nguyễn Chí Thanh, TT Chợ Vàm, Phú Tân, An Giang",THPT Nguyễn Chí Thanh
đại học sư phạm tdtt tp.hồ chí minh,ĐH Sư Phạm Thể Dục Thể Thao
THPT Trần Quang Khải Nam Định,THPT Dân lập Trần Quang Khải
ĐH Kiến trúc HN,ĐH Kiến trúc Hà Nội
cao dang gtvt ll da nang,CĐ Giao thông vận tải Trung ương
THPT so 2 Tuy Phuoc,THPT Tuy Phước
đhsp kt vĩnh long,ĐH Sư phạm Kỹ thuật Vĩnh Long
THPT Phù Cừ,THPT Phù Cừ
đại học ngoại ngữ-qghn,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
DH Kinh Te ki thuat hai duong,ĐH Kinh tế Kỹ thuật Hải Dương
đại học bách khoa tp.hồ chí minh - ho chi minh city university of technology,ĐH Bách khoa - ĐH Quốc gia TP.HCM
TP C BINH LUC,THPT Bình Lục
đhsp-đại học thái nguyên,ĐH Sư phạm Thái Nguyên
tc nghe nhan dao,TC Nghề Nhân Đạo
Trường THPT Nguyễn Công Trứ - Phú Yên,THPT Nguyễn Công Trứ
Đai hoc mỏ thach tiến,ĐH Mở Hà Nội
"THPH Thai Hoa,Tan Uyen,Binh Duong",THPT Thái Hòa
đh xây dựng,ĐH Xây Dựng Hà Nội
cao dang det may thoj trang ha noi,CĐ May Thiết Kế Thời Trang Hà Nội
THPT DAKMIL,THPT Đắk Mil
đại học công nghiệp - tp. hồ chí minh,ĐH Công nghiệp TP.HCM
đh sư phạm kỷ thuật 3,ĐH Sư Phạm Kỹ Thuật Vinh
trung cap yte ben tre,CĐ Bến Tre
Dai Hoc Ky Thuat Cong Nghiep Thai Nguyen,ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên
Trường THPT Nguễn Mai,THPT Nguyễn Mai
Trung cấp y dược Hà Nam,CĐ Y tế Hà Nam
cao đẳng kinh tế kỹ thật miền nam,CĐ Miền Nam
đại học tài nguyên và môi trường tp.hcm cơ sở 2,ĐH Tài nguyên và Môi trường TP.HCM
Dai hoc TCKT Ha Noi,HV tài chính
đại học carleton,ĐH Cát Lâm
"THPT Nguyễn Hữu Cảnh, Huyện Chợ Mới, An Giang",THPT Nguyễn Hữu Cảnh
Trường Trung Học Phổ Thông An Lương Đông,THPT An Lương Đông
Học Viện Công Nghệ Bưu Chính Viễn Thông.,HV Công Nghệ Bưu Chính Viễn Thông
cd dl nhatrag,CĐ Du Lịch Nha Trang
Truong Trường THPT Mac dinh chi nan sach,THPT Mạc Đĩnh Chi
đại học nông huế,ĐH Nông Lâm
Đại học sư phạm Hòa Bình,CĐ Sư phạm Hòa Bình
đại học công nghiệp tp.hcm - hui,ĐH Công nghiệp TP.HCM
Trường THPT Trần Quốc Tuấn thành phố quảng ngãi,THPT Trần Quốc Tuấn
ttgdnn gdtx a luoi,GDNN-GDTX A Lưới
Đại Học Trà Vinh,ĐH Trà Vinh
Trường THPT Yên Định 3,THPT Yên Định
"THPT  Nguyễn Đổng Chi, Lộc Hà, Hà Tĩnh",THPT Nguyễn Đổng Chi
Trường Trung cấp Y Tế Hoà Bình,TC Y tế Hòa Bình
Trường THPT Bố Hạ,THPT Bố Hạ
bệnh viện đại học y,ĐH Y Hà Nội
cd su pham mau giao trung uong,CĐ Sư phạm Mầm non Trung Ương
Trường THPT dam doi,THPT Đầm Dơi
Trường THPT An Phước Phan Rang - Tháp Chàm Ninh Thuận,THPT An Phước
trường PTTH Nam Kỳ Khởi Nghĩa,THPT Nam Kỳ Khởi Nghĩa
THPT tu ki,THPT Tứ Kỳ
đh my thuật công nghiệp hn,ĐH Mỹ thuật Công nghiệp
đại học bach khoa thành phố hồ chí minh,ĐH Bách khoa - ĐH Quốc gia TP.HCM
Trường THPT Trần Phú -Nga Sơn,THPT Trần Phú
THPT Hoằng hóa 3,THPT Hoằng Hoá
cao đẳng kỹ thuật lí tự trọng,CĐ Lý Tự Trọng TP.HCM
cao đẳng nghề số 20 bqp,CĐ nghề Bộ Quốc phòng
Trường THCS-THPT dang khoa,THCS-THPT Đăng Khoa
cao đẳng văn hóa nghệ thuật - vinh,CĐ Văn hóa Nghệ thuật Nghệ An
TTrường THPT XUAN ANG,THPT Xuân Áng
Trường cao đẵng y tế quảng nam,CĐ Y tế Quảng Nam
cao dang ky thuat ly tu trong tphcm,CĐ Lý Tự Trọng TP.HCM
THPT Phong Thổ,THPT Phong Thổ
The Han0i pedag0gical university N02,ĐH Sư phạm Hà Nội
đại học hồng đức ( hdu ),ĐH Hồng Đức
Trường Đại học Sư phạm Ngoại Ngữ Hà Nội,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
cao đẳng cơ khí vĩnh phúc,CĐ cơ khí nông nghiệp
truong cao dang cong nghe thong tin viet han,ĐH Công nghệ Thông tin Truyền thông Việt Hàn
TQC Hoi An,THPT Trần Quý Cáp
đại học cntt,ĐH Công nghệ Thông tin – ĐH Quốc Gia TP.HCM
Tung hoc tai .Truong Trường THPT Thanh liem B,THPT Thanh Liêm
cao dang yte ha dong,CĐ Y tế Hà Đông
Trường THPT Lê Hồng Phong-Di Linh-Lâm Đồng,THPT Lê Hồng Phong
đại học cntt - đại học quốc gia tp.hcm,ĐH Công nghệ Thông tin – ĐH Quốc Gia TP.HCM
truong Trường THPT luong the vinh tu 01 02 2020,THPT Lương Thế Vinh
Trường PTTH Nguyễn Đình Chiểu,THPT Nguyễn Đình Chiểu
ptth yên định 3,THPT Yên Định
đại học kĩ thuật hưng yên,ĐH Sư Phạm Kỹ Thuật Hưng Yên
Trường THPT Việt Vinh,THPT Việt Vinh
"THPT Phan Chu Trinh, Cujut, ĐăkNông",THPT Phan Chu Trinh
Đại học Mỏ - Địa chất,ĐH Mỏ Địa chất
"đại học kinh tế - luật, đại học quốc gia hồ chí minh",ĐH Kinh tế Luật - ĐH Quốc Gia TP.HCM
THPT Lương Thúc Kỳ,THPT Lương Thúc Kỳ
Cao Đẳng cộng Đồng Hà Tây,CĐ Cộng đồng Hà Tây
Trường THPT Nguyễn Du,THPT Nguyễn Du
truong thpt tam duong,THPT Tam Dương
"Trường THPT Tịnh Biên, Nhà Bàng, Tịnh Biên, An Giang",THPT Tịnh Biên
đại học sư pham hà nội 2,ĐH Sư Phạm Hà Nội 
đh ngoai ngữ hà nội,ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
cao dang kttc thai nguyen,CĐ Kinh Tế Tài Chính Thái Nguyên
đh y dược saigon,ĐH Y Dược TP.HCM
đại học kinh doanh & công nghệ hn,ĐH Kinh doanh Công nghệ Hà Nội
đại học may,ĐH Công Nghiệp Dệt May Hà Nội
THPT  Hiệp Hòa 1,THPT Hiệp Hòa
thpt chuyen tran hung dao,THPT Chuyên Trần Hưng Đạo
đại học kĩ thuật y tế hải dương hmtu,ĐH Kỹ thuật Y tế Hải Dương
Trường THPT Phan Chu Trinh - Ninh Thuan,THPT Phan Chu Trinh
University of Social Siences and Humanities,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia Hà Nội
đh kinh tế - luật hồ chí minh (uel),ĐH Kinh tế Luật - ĐH Quốc Gia TP.HCM
trung tam day nghe huyen chiem hoa,GDNN-GDTX Chiêm Hóa
Truong THPT Cap 3 Tan An,THPT Tân An
đại học y ninh bình,CĐ Y tế Ninh Bình
đại học lâm nghiệp - vfu,ĐH Lâm nghiệp
đhsp 1 hà nội,ĐH Sư phạm Hà Nội
cd kinh te_ky thuat sg,CĐ Kinh tế Kỹ thuật TP.HCM
pho thong dtnt tinh ba ria vung tau,THPT DTNT Bà Rịa Vũng Tàu
Cao đẳng Bách Việt TP.HCM,CĐ Bách Việt
Cao Đẳng Kinh tế - Kỹ Thuật TW (NETC),CĐ Kinh tế Kỹ thuật Trung ương
tc nghe co khi xay dung,TC Nghề Cơ khí xây dựng
PTTH kim lien nam dan nghe an,THPT Kim Liên
th pt pbc,THPT Phan Bội Châu
Trường ĐH Kinh Tế và Quản Trị Kinh Doanh - ĐH Thái Nguyên,ĐH Kinh tế Quản trị kinh doanh - ĐH Thái Nguyên
truong Trường THPT dinh tien hoang,THPT Đinh Tiên Hoàng
cao đẳng sân khấu điện ảnh hcm,ĐH Sân khấu Điện ảnh TP.HCM
đh kinh tế ktcn hà nội,ĐH Kinh tế Kỹ thuật Công nghiệp
Trường Y Dược Học Cổ truyền Tuệ Tĩnh,HV Y Dược học Cổ truyền Việt Nam
đại học qg hn,ĐH Quốc gia Hà Nội
Phổ Thông Hùng Vương tphcm,THPT Hùng Vương
"Truong Trường THPT Dan Lap Luong The Vinh, TP Cam Pha, Quang Ninh",THPT Lương Thế Vinh
Trường THPT Mường Chà - Mường Chà - Điện Biên,THPT MƯỜNG CHÀ
"THPT  Nguyễn Văn Trỗi, Nha Trang, Khánh Hòa",THPT Nguyễn Văn Trỗi
Cao đẳng Kinh tế - Công nghệ Thành phố Hồ Chí Minh,CĐ Kinh tế Công nghệ TP.HCM
đhktektcn,ĐH Kinh tế Kỹ thuật Công nghiệp
đại học văn hóa nghệ thuật vinh,CĐ Văn hóa Nghệ thuật Nghệ An
cao dang nghe dau khi vug tau,CĐ Nghề Dầu Khí
cao đẳng kĩ thuật quảng nam,CĐ Quảng Nam
đại học văn lang thành phố hô chí minh,ĐH Văn Lang
Trương THPT Đỗ Đăng Tuyển,THPT Đỗ Đăng Tuyển
Trường Học Viện Chính Trị CAND,HV Chính Trị
cao đẳng nghề công nghệp thanh hoá,CĐ nghề công nghiệp Thanh Hoá
đại học khxh va nv,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia TP.HCM
cao đẳng y dược pasteur hà nội,CĐ Y DƯỢC PASTEUR
cd cong nghe cao hn,CĐ nghề Công nghệ Cao Hà Nội
truong trung hoc pho thong bim son,THPT Bỉm Sơn
ĐH cảnh sát,ĐH Cảnh sát Nhân dân
Truong THPT Bac Me-Ha Giang,THPT Bắc Mê
cao đẳng ngề xây dựng việt xô,CĐ Nghề Cơ điện Xây dựng
cao đẳng kỹ thuạt cao thắng,CĐ Kỹ thuật Cao Thắng
đh kỹ thuật công nghiệp thá nguyên,ĐH Kỹ Thuật Công Nghiệp - ĐH Thái Nguyên
Trung Học Phổ Thông Đinh Tiên Hoàng Tp.VUngTau,THPT Đinh Tiên Hoàng
Trường Trung Học PT Lưu Hoàng,THPT Lưu Hoàng
THPT Phu Ngoc,THPT Phú Ngọc
Trường THCS va Trường THPT phung hung,THCS-THPT Phùng Hưng
cao đẳng nghề dl nghệ an,CĐ nghề Du lịch Thương mại Nghệ An
cao dang ki thuat tphcm,CĐ Kinh tế Kỹ thuật TP.HCM
Trường THPT toan thang,THPT Toàn Thắng
truong cao dang hang hai,CĐ Hàng Hải
cao dang y te ha dog,CĐ Y tế Hà Đông
cao đẳng spmg tw2 nha trang,CĐ Sư Phạm Trung Ương Nha Trang
trung hoc lam nghiep tay nguyen,TC Lâm Nghiệp Tây Nguyên
thpt lương thế vinh điện nam trung điện bàn quảng nam,THPT Lương Thế Vinh
Truong DHYD can tho,ĐH Y Dược Cần Thơ
THPT truc ninh,THPT Trực Ninh
cd công nghệ đà nẵng,ĐH Sư Phạm Kỹ thuật - ĐH Đà Nẵng
cao dang cong nhiep thai nguyen,CĐ Công nghiệp Thái Nguyên
THPT An Nhon 1,THPT An Nhơn
cao dang asean,CĐ ASEAN
College Of  Infomation Technology Da Nang,CĐ Công nghệ Thông tin - ĐH Đà Nẵng
đhspkt nam định,ĐH Sư phạm Kỹ thuật Nam Định
Truong THPT Dan Lap Ninh Giang,THPT Ninh Giang
trung hoc pho thong my hoi dong,THPT Lương Văn Cù
"Trường THPT Cẩm Thủy 2, Phúc Do, Cẩm Thủy, Thanh Hoá Thanh Hóa",THPT Cẩm Thủy
cao dang y te ht,CĐ Y Tế Hà Tinh
Đại học Lương Thế Vinh - Nam Định,ĐH Lương Thế Vinh
Truong CDSP TT Hue,CĐ Sư phạm Huế
Trường THPT Bạc Liêu,THPT Bạc Liêu
Trường THPT Lê Quý Đôn - Trấn Yên - Yên Bái,THPT Lê Qúy Đôn
cao đẳng gtvt ii tp.đà nẵng,CĐ Giao thông vận tải Trung ương
Cao Đẳng Kinh tế thành phố Hải Phòng,CĐ Kinh Tế Lý Tự Trọng TP.HCM
"Trường THPT Mang Thít, Vĩnh Long",THPT Mang Thít
cao dang su pham log an,CĐ Sư phạm Mầm non Trung ương
Trường THPT Tran Hung Dao Hai Phong,THPT Trần Hưng Đạo
dh sp kt hung yen,ĐH Sư Phạm Kỹ Thuật Hưng Yên
truong thpt kim son b,THPT Kim Sơn
đhsp ha noi vn,ĐH Sư phạm Hà Nội
đại học dongsin,ĐH Dongsin
"Trường THPT Nguyễn Bỉnh Khiêm,Hải Lăng,Quảng trị",THPT Nguyễn Bỉnh Khiêm
Trường THPT thach thanh 1,THPT Thạch Thành
trung tam gdnn gdtx huyen tuan giao,GDNN-GDTX Tuần Giáo
đh nông lâm ninh thuận,ĐH Nông Lâm
cao đẳng văn hoa nghệ thuật tây bắc hòa bình,CĐ Văn Hóa Nghệ Thuật Tây Bắc
Trường THCS-THPT tran quoc tuan,THCS-THPT Trần Quốc Tuấn
Trung Tâm GDTX Tân Phú,GDNN-GDTX quận Tân Phú
cao dang djen luc,CĐ Điện lực TP.HCM
Truong dai hoc ky thuat cao thang,CĐ Kỹ thuật Cao Thắng
Truong Quan Su Quan Khu 5,Quân Sự Quân đoàn
cao đẳng nghề tỉnh bà rịa - vũng tàu,CĐ Kỹ Thuật Công Nghệ Bà Rịa Vũng Tàu
ptth trường PtTh Nông Cống 1,THPT Nông Cống
cao đẳng  đà nẵng,CĐ Đại Việt
đại học ba ria vung tau,ĐH Bà Rịa Vũng Tàu
cao đẳng tài nguyên va môi trường miền trung,ĐH Tài Nguyên Môi Trường Hà Nội
Trung hoc PT Bach Dang,THPT Bạch Đằng
Trường THPT Trần Văn Bảy- B.Liêu,THPT Trần Văn Bảy
Trường Cao Đẳng Kinh Tế Kế Hoạch,CĐ Kinh tế Kế hoạch Đà Nẵng
Hoc Vien Quoc Phong,HV Quốc phòng
trung hoc pho thong nga sau,THPT Ngã Sáu
đại học kiến trúc- hcm,ĐH Kiến trúc TP.HCM
cao đẳng y tế hưngyên,CĐ Y Tế Hưng Yên
Trường THPT cam an,THPT Cảm Ân
Trường THPT vĩnh lộc,THPT Vinh Lộc
THPT TVB,THPT Trần Văn Bảy
cao dang giao thong vt,CĐ Giao Thông Vận Tải TP.HCM
Trường ĐH Quy Nhơn,ĐH Quy Nhơn
thpt mỹ lạc,THPT Mỹ Lạc
ĐH SƯ PHẠM HN,ĐH Sư phạm Hà Nội
đại học lật,ĐH Luật Hà Nội
đại học sao đo,ĐH Sao Đỏ
Trường THPT dinh tien hoang,THPT Đinh Tiên Hoàng
truong dai hoc nghe thuat hue,ĐH Nghệ thuật - ĐH Huế
Trường THPT Lê Hồng Phong - Quảng Bình,THPT Lê Hồng Phong
Đại học Văn hóa Nghệ thuật Quân đội,ĐH Văn hóa Nghệ thuật Quân đội
Trung Cấp Đông Dương,TC Đông Dương
Trường THPT - Khánh Hưng,THPT Khánh Hưng
CĐSP BRVT,CĐ Sư phạm Bà Rịa Vũng Tàu
TTHPT CAO LANH 2,THPT Cao Lãnh
THPT Chu Văn Thịnh,THPT Chu Văn Thịnh
cao đẳng cơ khí luyện kim thái nguyên,CĐ Cơ Khí Luyện Kim
