index,text,cleaned_text
18558,Đại Học Sư Phạm Nghệ Thuật TW,ĐH Sư Phạm Nghệ Thuật Trung ương
18559,DH SP Nghe Thuat TW,ĐH Sư Phạm Nghệ Thuật Trung ương
18560,Truong Dai Hoc Su Pham Thai Nguyen,ĐH Sư phạm Thái Nguyên
18561,Trường Đại học Sư phạm Thái Nguyên,ĐH Sư phạm Thái Nguyên
18562,su pham thai nguyen,ĐH Sư phạm Thái Nguyên
18563,Đại học sư phạm Thái Nguyên,ĐH Sư phạm Thái Nguyên
18564,Trường ĐHSP Thái Nguyên,ĐH Sư phạm Thái Nguyên
18565,Trường ĐHSP Thái Nguyên,ĐH Sư phạm Thái Nguyên
18566,Trường Đại học sư phạm Tp.HCM,ĐH Sư phạm TP.HCM
18567,Dai hoc Su Pham TPHCM,ĐH Sư phạm TP.HCM
18568,Ho Chi Minh City University of Education,ĐH Sư phạm TP.HCM
18569,Ho Chi Minh City University of Education,ĐH Sư phạm TP.HCM
18570,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,ĐH Sư phạm TP.HCM
18571,Ho Chi Minh City University of Pedagogy,ĐH Sư phạm TP.HCM
18572,Ho Chi Minh city University of Pedagogy,ĐH Sư phạm TP.HCM
18573,Trường Đại Học Sư Phạm TP.HCM,ĐH Sư phạm TP.HCM
18574,ĐH Sư Phạm Tp Hồ Chí Minh,ĐH Sư phạm TP.HCM
18575,Dai Hoc Su Pham TP Ho Chi Minh,ĐH Sư phạm TP.HCM
18576,Ho Chi Minh City University of Pedagogy,ĐH Sư phạm TP.HCM
18577,Đại học Sư phạm Tp.HCM,ĐH Sư phạm TP.HCM
18578,Đại học Sư phạm Tp.HCM,ĐH Sư phạm TP.HCM
18579,Đại học Sư phạm Tp.HCM,ĐH Sư phạm TP.HCM
18580,Trường ĐHSP TP. Hồ Chí Minh,ĐH Sư phạm TP.HCM
18581,Truong Dai Hoc Su Pham Tp HCM,ĐH Sư phạm TP.HCM
18582,HCM University of Pedagogy (HCMUP),ĐH Sư phạm TP.HCM
18583,"University of Pedagogy, HCM city",ĐH Sư phạm TP.HCM
18584,ĐẠI HỌC SƯ PHẠM TP HỒ CHÍ MINH,ĐH Sư phạm TP.HCM
18585,Đại Học Sư Phạm Tp.HCM,ĐH Sư phạm TP.HCM
18586,Sư Phạm TPHCM,ĐH Sư phạm TP.HCM
18587,ĐH Sư phạm TP.HCM,ĐH Sư phạm TP.HCM
18588,HCMC University of Pedagogy,ĐH Sư phạm TP.HCM
18589,Ho Chi Minh University of Pedagogy,ĐH Sư phạm TP.HCM
18590,Dai doc Su pham Thanh pho Ho Chi Minh,ĐH Sư phạm TP.HCM
18591,ĐH Sư phạm TP.HCM,ĐH Sư phạm TP.HCM
18592,Đại học Sư phạm Tp.HCM,ĐH Sư phạm TP.HCM
18593,truong dai hoc su pham thanh pho ho chi minh,ĐH Sư phạm TP.HCM
18594,dai hoc su pham thanh pho ho chi minh,ĐH Sư phạm TP.HCM
18595,Đại học sư phạm TPHCM,ĐH Sư phạm TP.HCM
18596,sp tphcm,ĐH Sư phạm TP.HCM
18597,sư phạm thành phố,ĐH Sư phạm TP.HCM
18598,truog dai hc su pham (th hcm city),ĐH Sư phạm TP.HCM
18599,Trường Đại học Sư phạm TP.HCM - HCMUE,ĐH Sư phạm TP.HCM
18600,Trường ĐHSP TP. Hồ Chí Minh,ĐH Sư phạm TP.HCM
18601,ĐH Sưu Phạm TP.HCM,ĐH Sư phạm TP.HCM
18602,Dhsp Tphcm,ĐH Sư phạm TP.HCM
18603,Trường Đại học Sư Phạm TP. Hồ Chí Minh,ĐH Sư phạm TP.HCM
18604,Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,ĐH Sư phạm Thể dục Thể thao Hà Nội
18605,Sp the duc the thao ha noi,ĐH Sư phạm Thể dục Thể thao Hà Nội
18606,dai hoc sptdtt ha noi,ĐH Sư phạm Thể dục Thể thao Hà Nội
18607,Đại học Sư phạm Thể dục Thể thao Hà Nội,ĐH Sư phạm Thể dục Thể thao Hà Nội
18608,truong dai hoc su pham the duc the thao ha noi,ĐH Sư phạm Thể dục Thể thao Hà Nội
18609,Trường Đại Học Sư Phạm Thể Dục Thể Thao Tp. Hồ Chí Minh,ĐH Sư phạm Thể dục Thể thao TP.HCM
18610,Trường Đại Học Sư Phạm Thể Dục Thể Thao Tp.hcm,ĐH Sư phạm Thể dục Thể thao TP.HCM
18611,Trường Đại học Sư phạm Thể dục Thể thao Thành phố Hồ Chí Minh,ĐH Sư phạm Thể dục Thể thao TP.HCM
18612,Dai hoc Su pham The Duc The Thao TP HCM,ĐH Sư phạm Thể dục Thể thao TP.HCM
18613,DH su pham TDTT Tp.HCM,ĐH Sư phạm Thể dục Thể thao TP.HCM
18614,ĐHSPTDTTTPHCM,ĐH Sư phạm Thể dục Thể thao TP.HCM
18615,Sunway University,ĐH Sunway
18616,Sunway University,ĐH Sunway
18617,Đại Học Tài Chính Kế Toán Quảng Ngãi,ĐH Tài chính - Kế toán
18618,DH tai chinh ke toan,ĐH Tài chính - Kế toán
18619,Trường Đại học Tài chính - Kế toán Quảng Ngãi,ĐH Tài chính - Kế toán
18620,Cd Tai Chinh Hai Quan,ĐH Tài chính - Marketing
18621,CĐ Tài Chính-Hải Quan,ĐH Tài chính - Marketing
18622,Trường Cao đẳng Tài chính - Hải quan,ĐH Tài chính - Marketing
18623,truong cao dang tai chinh hai quan,ĐH Tài chính - Marketing
18624,Cao đẳng Tài chính Hải quan TP.HCM,ĐH Tài chính - Marketing
18625,Truong Cao Dang Tai Chinh - Hai Quan,ĐH Tài chính - Marketing
18626,cao dang tai chinh hai quan,ĐH Tài chính - Marketing
18627,Trường CĐ Tài chính Hải quan,ĐH Tài chính - Marketing
18628,Đại Học Tài Chính Quản Trị Kinh Doanh,ĐH Tài chính - Quản trị kinh doanh
18629,Đại học Tài chính-Quản trị kinh doanh,ĐH Tài chính - Quản trị kinh doanh
18630,Trường Đại học Tài chính Ngân Hàng,ĐH Tài Chính Ngân Hàng Hà Nội
18631,Đại học Tài chính - Ngân hàng Hà Nội,ĐH Tài Chính Ngân Hàng Hà Nội
18632,tai chinh ngan hang,ĐH Tài Chính Ngân Hàng Hà Nội
18633,ĐH Tài Chính Ngân Hàng Hà Nội,ĐH Tài Chính Ngân Hàng Hà Nội
18634,Trường Đại học Tài chính - Ngân hàng Hà Nội,ĐH Tài Chính Ngân Hàng Hà Nội
18635,Trường Cao đẳng Tài nguyên và Môi trường Miền Trung,ĐH Tài Nguyên và Môi Trường Hà Nội tại Thanh Hoá
18636,Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,ĐH Tài nguyên và Môi trường Hà Nội
18637,Đại Học Tài Nguyên và Môi Trường Hà Nội,ĐH Tài nguyên và Môi trường Hà Nội
18638,Đại học Tài nguyên và Môi trường Hà Nội,ĐH Tài nguyên và Môi trường Hà Nội
18639,Hanoi University of Natural Resources and Environment,ĐH Tài nguyên và Môi trường Hà Nội
18640,Ho Chi Minh city University of Natural Resource and Environment,ĐH Tài nguyên và Môi trường TP.HCM
18641,Đại Học Tài Nguyên và Môi Trường TPHCM,ĐH Tài nguyên và Môi trường TP.HCM
18642,Trường Đại học Tài nguyên và Môi trường Tp. Hồ Chí Minh,ĐH Tài nguyên và Môi trường TP.HCM
18643,Dh tai nguyen va moi truong tphcm,ĐH Tài nguyên và Môi trường TP.HCM
18644,Trường Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,ĐH Tài nguyên và Môi trường TP.HCM
18645,ĐH Tài Nguyên và Môi Trường TP.HCM,ĐH Tài nguyên và Môi trường TP.HCM
18646,Đại Học Tài Nguyên Và Môi Trường TP.HCM,ĐH Tài nguyên và Môi trường TP.HCM
18647,Đại Học Tây Bắc,ĐH Tây Bắc
18648,Đại Học Tây Bắc,ĐH Tây Bắc
18649,Trường Đại học Tây Bắc,ĐH Tây Bắc
18650,Trường Đại học Tây Bắc,ĐH Tây Bắc
18651,Trường Đại Học Tây Bắc,ĐH Tây Bắc
18652,Trường Đại Học Tây Bắc Thành Phố Sơn La Tỉnh Sơn La,ĐH Tây Bắc
18653,Trường Đại học Tây Bắc,ĐH Tây Bắc
18654,Trường Đại học Tây Bắc Tỉnh Sơn La,ĐH Tây Bắc
18655,Đại Học Tây Bắc,ĐH Tây Bắc
18656,Trường ĐH Tây Đô,ĐH Tây Đô
18657,"TayDo University, Can Tho city",ĐH Tây Đô
18658,Trường Đại Học Tây Đô,ĐH Tây Đô
18659,Trường Đại Học Tây Đô Thành Phố Cần Thơ,ĐH Tây Đô
18660,"Đại Học Tây Đô, Quận Cái Răng, Thành Phố Cần Thơ",ĐH Tây Đô
18661,"DH Tay Do,Can tho",ĐH Tây Đô
18662,Trường Đại học Tây Đô,ĐH Tây Đô
18663,ĐH TÂY ĐÔ,ĐH Tây Đô
18664,DH Tây Đô,ĐH Tây Đô
18665,ĐH Y Tây Nguyên,ĐH Tây Nguyên
18666,Đại học Tây Nguyên,ĐH Tây Nguyên
18667,DH Tây Nguyên,ĐH Tây Nguyên
18668,dai hoc tay nguyen,ĐH Tây Nguyên
18669,Truong DH Tay Nguyen,ĐH Tây Nguyên
18670,Tay Nguyen University,ĐH Tây Nguyên
18671,Truong Dai hoc Tay Nguyen,ĐH Tây Nguyên
18672,ĐH Tây Nguyên,ĐH Tây Nguyên
18673,Đại Học Tây Nguyên,ĐH Tây Nguyên
18674,Trường Đại học Tây Nguyên,ĐH Tây Nguyên
18675,Western Sydney University,ĐH Tây Sydney
18676,Đại Học Thái Bình - DTB,ĐH Thái Bình
18677,ĐH Thái Bình Dương,ĐH Thái Bình Dương
18678,dai hoc thai nguyen,ĐH Thái Nguyên
18679,Đại học Thái Nguyên,ĐH Thái Nguyên
18680,Trường Đại học Thăng Long ha,ĐH Thăng Long
18681,TLU :D ( Thang Long University ),ĐH Thăng Long
18682,Trường Đại học Thăng Long,ĐH Thăng Long
18683,Trường Đại Học Thành Đô,ĐH Thành Đô
18684,CLB Võ Thuật - Đại Học Thành Đô_TMC,ĐH Thành Đô
18685,Trường Đại học Thành Đông,ĐH Thành Đông
18686,Trường Đại Học Thành Đông,ĐH Thành Đông
18687,Sungkyunkwan University,ĐH Thành Quân Quán
18688,Trường Đại Học TDTT -Từ Sơn-Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18689,Đại học thể dục thể thao từ sơn Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18690,ĐH TDTT Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18691,Trường ĐH Thể dục thể thao Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18692,Bac Ninh Sport University,ĐH Thể dục Thể thao Bắc Ninh
18693,Đại Học TDTT Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18694,Trường Đại Học TDTT -Từ Sơn-Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18695,dh the duc the thao,ĐH Thể dục Thể thao Bắc Ninh
18696,"ĐH TDTT Từ Sơn, Bắc Ninh",ĐH Thể dục Thể thao Bắc Ninh
18697,Trường Đại học TDTT 1 - Từ Sơn - Bắc Ninh,ĐH Thể dục Thể thao Bắc Ninh
18698,Trường ĐH TDTT Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18699,dai hoc tdtt da nang,ĐH Thể dục Thể thao Đà Nẵng
18700,Trường Đại học Thể dục Thể thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18701,Đại học thể dục thể thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18702,Đại học thể dục thể thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18703,ĐH Thể Dục Thể Thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18704,Đại học thể dục thể thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18705,dh tdtt da nang,ĐH Thể dục Thể thao Đà Nẵng
18706,Đại học thể dục thể thao Đà Nẵng,ĐH Thể dục Thể thao Đà Nẵng
18707,Trường TDTT Đà Nẳng,ĐH Thể dục Thể thao Đà Nẵng
18708,dai hoc tdtt da nang,ĐH Thể dục Thể thao Đà Nẵng
18709,TDTT TPHCM,ĐH Thể dục Thể thao TP.HCM
18710,DH TDTT TP.HCM CITY,ĐH Thể dục Thể thao TP.HCM
18711,Đại học thể dục thể thao tphcm,ĐH Thể dục Thể thao TP.HCM
18712,Dai Hoc The Duc The Thao Tp Ho Chi Minh,ĐH Thể dục Thể thao TP.HCM
18713,ĐẠI HỌC TDTT TP. HỒ CHÍ MINH,ĐH Thể dục Thể thao TP.HCM
18714,ĐH TDTT TP HCM,ĐH Thể dục Thể thao TP.HCM
18715,HCM sport university,ĐH Thể dục Thể thao TP.HCM
18716,DH tdtt tp hcm,ĐH Thể dục Thể thao TP.HCM
18717,Trường Đại Học Thể Dục Thể Thao Thành phố Hồ Chí Minh,ĐH Thể dục Thể thao TP.HCM
18718,Dai hoc tdtt tphcm,ĐH Thể dục Thể thao TP.HCM
18719,Đại Học Thông Tin Liên Lạc,ĐH Thông tin Liên lạc
18720,Trường Sỹ Quan Thông Tin,ĐH Thông tin Liên lạc
18721,Trường Sĩ Quan Thông Tin,ĐH Thông tin Liên lạc
18722,Trường Sĩ quan Thông tin- Đại học Thông tin liên lạc,ĐH Thông tin Liên lạc
18723,Trường Sĩ Quan Thông Tin - Đại học Thông Tin Liên Lạc,ĐH Thông tin Liên lạc
18724,trường dh thủ dầu một tp bình dương,ĐH Thủ Dầu Một
18725,Dh Thu Dau Mot (ThuDauMot University),ĐH Thủ Dầu Một
18726,Đại học Thủ Dầu 1,ĐH Thủ Dầu Một
18727,Thu Dau Mot University,ĐH Thủ Dầu Một
18728,Trường Đại học Thủ đô Hà Nội,ĐH Thủ đô Hà Nội
18729,Truong dai hoc tu do,ĐH Thủ đô Hà Nội
18730,Truong Dai Hoc Thuong Mai Ha Noi,ĐH Thương mại
18731,Đại học Thương mại Hà Nội,ĐH Thương mại
18732,Trường Đại học Thương mại Hà Nội,ĐH Thương mại
18733,Trường ĐH Thương Mại,ĐH Thương mại
18734,Đại học Thương Mại Hà Nội,ĐH Thương mại
18735,Vietnam Commercial University,ĐH Thương mại
18736,truong dh thuong mai ha noi,ĐH Thương mại
18737,Đại Học Thương Mại Hà Nội,ĐH Thương mại
18738,Đại học Thương Mại Hà Nội,ĐH Thương mại
18739,Trường Đại Học Thương Mại,ĐH Thương mại
18740,ĐH Thủy Lợi,ĐH Thủy Lợi
18741,Đại học Thủy lợi cơ sở 2,ĐH Thủy Lợi
18742,dai hoc thuy loi cs2,ĐH Thủy Lợi
18743,Đại học Thủy lợi Cơ sở 2,ĐH Thủy Lợi
18744,Đại học Thủy lợi Hà Nội,ĐH Thủy Lợi
18745,ĐẠI HỌC THUỶ LỢI HÀ NỘI - Water Resources University,ĐH Thủy Lợi
18746,Trường Đại học Thủy lợi - Cơ sở 2,ĐH Thủy Lợi
18747,Đại học Thủy Lợi Hà Nội,ĐH Thủy Lợi
18748,Cơ sở 2 - Đại học Thủy Lợi,ĐH Thủy Lợi
18749,Đại Học Tiền Giang - Tien Giang University,ĐH Tiền Giang
18750,Đại học Tiền Giang,ĐH Tiền Giang
18751,DH tien Giang University,ĐH Tiền Giang
18752,Đại học Tiền Giang,ĐH Tiền Giang
18753,Trường Đại học Tiền Giang,ĐH Tiền Giang
18754,Truong Dai hoc Tien Giang,ĐH Tiền Giang
18755,Tien Giang University,ĐH Tiền Giang
18756,Đại học Tiền Giang,ĐH Tiền Giang
18757,ĐH Tiền Giang,ĐH Tiền Giang
18758,ĐẠI HỌC TIỀN GIANG,ĐH Tiền Giang
18759,Trường Đại học Tiền Giang,ĐH Tiền Giang
18760,DH Tien Giang,ĐH Tiền Giang
18761,Tokyo University,ĐH Tokyo
18762,Trường Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18763,Trường Đại Học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18764,Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18765,ĐH Tôn Đức Thắng TPHCM,ĐH Tôn Đức Thắng
18766,Trường Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18767,Ton Duc Thang University - Vietnam,ĐH Tôn Đức Thắng
18768,Trường Đại Học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18769,ĐH Tôn Đức Thắng TPHCM,ĐH Tôn Đức Thắng
18770,Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18771,truong DH Ton Duc Thang,ĐH Tôn Đức Thắng
18772,Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
18773,DAI HOC TON DUC THANG,ĐH Tôn Đức Thắng
18774,Ton Duc Thang University,ĐH Tôn Đức Thắng
18775,TDT UNIVERSITY,ĐH Tôn Đức Thắng
18776,Trường Đại Học Tôn Đức Thắng- Nha Trang,ĐH Tôn Đức Thắng
18777,DH Ton Duc Thang Nha Trang,ĐH Tôn Đức Thắng
18778,University of Glasgow,ĐH Tổng hợp Glasgow
18779,Trường Đại học Tổng hợp Hà Nội,ĐH Tổng Hợp Hà Nội
18780,Đại học Tổng hợp Hà Nội,ĐH Tổng Hợp Hà Nội
18781,Đại Học Tổng Hợp Hà Nội - University of Hanoii,ĐH Tổng Hợp Hà Nội
18782,ĐH Tổng hợp Hà Nội,ĐH Tổng hợp Hà Nội
18783,Saint Petersburg State University,ĐH Tổng hợp Sankt-Peterburg
18784,Dai Hoc Tong Hop Thanh pho Ho Chi Minh,ĐH Tổng hợp TP.HCM
18785,DH Tong Hop Tp.HCM,ĐH Tổng hợp TP.HCM
18786,Tra Vinh University,ĐH Trà Vinh
18787,Trường Đại học Trà Vinh,ĐH Trà Vinh
18788,Dai Hoc Tra Vinh,ĐH Trà Vinh
18789,Trường Đại Học Trà Vinh,ĐH Trà Vinh
18790,DAI HOC TRA VINH,ĐH Trà Vinh
18791,Tra Vinh University,ĐH Trà Vinh
18792,Đại Học Trà Vinh,ĐH Trà Vinh
18793,Đại học Trần Đại Nghĩa - Trường Sĩ quan Kỹ thuật quân sự,ĐH Trần Đại Nghĩa
18794,Trường Đại học Trần Đại Nghĩa (SQKT Quân Sự),ĐH Trần Đại Nghĩa
18795,Trường Đại học Trần Quốc Tuấn,ĐH Trần Quốc Tuấn
18796,trường đại học trung vương,ĐH Trưng Vương
18797,Đại học Tự trị Quốc gia México,ĐH Tự trị Quốc gia México
18798,Tunku Abdul Rahman University College,ĐH Tunku Abdul Rahman
18799,Uppsala University,ĐH Uppsala
18800,Van Hien University,ĐH Văn Hiến
18801,Van Hien University,ĐH Văn Hiến
18802,VAN HIEN UNIVERSITY,ĐH Văn Hiến
18803,dai hoc van hien,ĐH Văn Hiến
18804,Trường Đại Học Văn Hiến TP.HCM,ĐH Văn Hiến
18805,"Đại Học Văn Hóa Hà Nội,418 Đê La Thành",ĐH Văn hóa Hà Nội
18806,Đại Học Văn Hóa Hà Nội,ĐH Văn hóa Hà Nội
18807,da hoc van hoa ha noi,ĐH Văn hóa Hà Nội
18808,ĐH Văn Hóa - Hà Nội,ĐH Văn hóa Hà Nội
18809,Trường Đại học Văn hóa Hà Nội_Hanoi University Of Culture,ĐH Văn hóa Hà Nội
18810,dai hoc van hoa,ĐH Văn hóa Hà Nội
18811,Đại học Văn hóa Hà Nội,ĐH Văn hóa Hà Nội
18812,Đại học văn hoá Hà Nội 418 Đê La Thành,ĐH Văn hóa Hà Nội
18813,Dai Hoc van Hoa,ĐH Văn hóa Hà Nội
18814,Đại Học Văn Hoá Nghệ Thuật Quân Đội,ĐH Văn hóa Nghệ thuật Quân đội
18815,ĐH văn hóa nghệ thuật quân đội,ĐH Văn hóa Nghệ thuật Quân đội
18816,Đại học Văn hóa Nghệ thuật Quân đội,ĐH Văn hóa Nghệ thuật Quân đội
18817,Trường Đại học Văn hóa Nghệ thuật Quân đội,ĐH Văn hóa Nghệ thuật Quân đội
18818,Đại Học Văn Hóa Nghệ Thuật,ĐH Văn hóa Nghệ thuật Quân đội
18819,Đại học VHNT Quân đội,ĐH Văn hóa Nghệ thuật Quân đội
18820,Trường Đại học Văn hóa - Nghệ thuật Quân đội,ĐH Văn hóa Nghệ thuật Quân đội
18821,truong nghe thuat quan doi,ĐH Văn hóa Nghệ thuật Quân đội
18822,Trường Đại học Văn hóa Thể thao và Du lịch Thanh Hóa,ĐH Văn Hóa Thể Thao Và Du Lịch Thanh Hoá
18823,"Trường Đại học Văn hóa, Thể thao và Du lịch Thanh Hóa",ĐH Văn Hóa Thể Thao Và Du Lịch Thanh Hoá
18824,Trường Đại Học Văn Hóa TP.HCM,ĐH Văn hóa TP.HCM
18825,ĐH văn hóa tp HCM,ĐH Văn hóa TP.HCM
18826,Ho Chi Minh City University of Culture,ĐH Văn hóa TP.HCM
18827,Đại Học Văn Hóa TP. Hồ Chí Minh,ĐH Văn hóa TP.HCM
18828,University culture Hochiminh city,ĐH Văn hóa TP.HCM
18829,Đại học Văn Hóa TP HCM - VHS,ĐH Văn hóa TP.HCM
18830,Đại học Văn Hoá  TPHCM,ĐH Văn hóa TP.HCM
18831,Dai Hoc van Hoa Tphcm,ĐH Văn hóa TP.HCM
18832,ĐH Văn Hóa TpHCM,ĐH Văn hóa TP.HCM
18833,Đại học Văn hóa TP. HCM,ĐH Văn hóa TP.HCM
18834,Trường Đại học Văn khoa Sài Gòn,ĐH Văn khoa Sài Gòn
18835,Đại học Văn khoa Sài Gòn,ĐH Văn khoa Sài Gòn
18836,Đại học Văn Khoa Saigon,ĐH Văn khoa Sài Gòn
18837,DH Văn Lang TPHCM,ĐH Văn Lang
18838,ĐH Văn Lang,ĐH Văn Lang
18839,ĐH Văn Lang (Vanlang University),ĐH Văn Lang
18840,"Van Lang University, HCMC",ĐH Văn Lang
18841,Trường Đại học Văn Lang,ĐH Văn Lang
18842,Văn Lang University,ĐH Văn Lang
18843,Văn Lang University,ĐH Văn Lang
18844,DHDL Van Lang,ĐH Văn Lang
18845,Trường Đại học Dân lập Văn Lang TP.HCM,ĐH Văn Lang
18846,Truong dai hoc dan lap Van Lang,ĐH Văn Lang
18847,DH Van Lang,ĐH Văn Lang
18848,Van Lang University (VLU),ĐH Văn Lang
18849,Văn Lang University,ĐH Văn Lang
18850,Trường Đại Học Dân Lập Văn Lang,ĐH Văn Lang
18851,Trường Đại Học Văn Lang Tp Hcm,ĐH Văn Lang
18852,Đại học Dân lập Văn Lang,ĐH Văn Lang
18853,Văn Lang University,ĐH Văn Lang
18854,ĐẠi Học Sư Phạm Vinh,ĐH Vinh
18855,đại học sư phạm vinh,ĐH Vinh
18856,Vinh University,ĐH Vinh
18857,ĐẠI HỌC VINH,ĐH Vinh
18858,Đại Học Vinh,ĐH Vinh
18859,Trường Đại học Vinh,ĐH Vinh
18860,Trường Đại học Vinh,ĐH Vinh
18861,Truong Dai hoc Vinh,ĐH Vinh
18862,Đại Học Vinh - Vinh University,ĐH Vinh
18863,Đại học Võ Trường Toản,ĐH Võ Trường Toản
18864,VTT University,ĐH Võ Trường Toản
18865,Đại Học Võ Trường Toản,ĐH Võ Trường Toản
18866,Vo Truong Toan University,ĐH Võ Trường Toản
18867,dai hoc vo truong toan,ĐH Võ Trường Toản
18868,"Đại Học Võ Trường Toản, Hậu Giang",ĐH Võ Trường Toản
18869,Trường Đại học Võ Trường Toản,ĐH Võ Trường Toản
18870,DH VO TRUONG TOAN,ĐH Võ Trường Toản
18871,Uniwersytet Warszawski,ĐH Warszawa
18872,Waseda University,ĐH Waseda
18873,Washington University in St. Louis,ĐH Washington tại St. Louis
18874,DH XAY DUNG HA NOI,ĐH Xây Dựng
18875,DHXD,ĐH Xây Dựng
18876,Đại học Xây dựng GD,ĐH Xây Dựng
18877,Đại Học Xây Dựng Hà Nội,ĐH Xây Dựng
18878,ĐH Xây Dựng,ĐH Xây Dựng
18879,ĐH Xây Dựng Hà Nội,ĐH Xây Dựng
18880,dai hoc xay dung ha noi,ĐH Xây Dựng
18881,Đại học Xây dựng,ĐH Xây Dựng
18882,daj hoc xay dung,ĐH Xây Dựng
18883,Đại học Xây dựng,ĐH Xây Dựng
18884,DHXD,ĐH Xây Dựng
18885,Đại học Xây dựng,ĐH Xây Dựng
18886,National University Of Civil Engineering,ĐH Xây Dựng
18887,Trường Đại học Xây dựng,ĐH Xây Dựng
18888,ĐẠI HỌC XÂY DỰNG - National University of Civil Engineering,ĐH Xây Dựng
18889,Daihocxaydung,ĐH Xây Dựng
18890,dai hoc xdhn,ĐH Xây Dựng
18891,Đai hoc xd ha noi,ĐH Xây Dựng
18892,Dai Hoc Xay Dung,ĐH Xây Dựng
18893,DAI HOC XAY DUNG,ĐH Xây Dựng
18894,NUCE- Đại học Xây Dựng,ĐH Xây Dựng
18895,Dai hc xay dung,ĐH Xây Dựng
18896,Trường Đại học Xây dựng,ĐH Xây Dựng
18897,ĐH Xây Dựng Hà Nội,ĐH Xây Dựng
18898,Đại Học Xây Dựng Hà Nội,ĐH Xây Dựng
18899,TRUONG DAI HOC XAY DUNG MIEN TAY,ĐH Xây Dựng Miền Tây
18900,Đại học xây dựng Miền Tây (MTU),ĐH Xây Dựng Miền Tây
18901,dai hoc xay dung mien tay,ĐH Xây Dựng Miền Tây
18902,dai hoc xay dung mien trung,"ĐH Xây dựng Miền Trung, Cơ Sở B"
18903,DH Xay Dung Mien Trung,"ĐH Xây dựng Miền Trung, Cơ Sở B"
18904,dai hoc xay dung mien trung,"ĐH Xây dựng Miền Trung, Cơ Sở B"
18905,DH Y Duoc Can Tho,ĐH Y Dược Cần Thơ
18906,Truond Dai Hoc Y Duoc Can Tho,ĐH Y Dược Cần Thơ
18907,ĐH Y Dược Cần Thơ,ĐH Y Dược Cần Thơ
18908,Trường Đại học y dược Cần Thơ,ĐH Y Dược Cần Thơ
18909,truong dai hoc y duoc can tho,ĐH Y Dược Cần Thơ
18910,truong dai hoc y duoc can tho,ĐH Y Dược Cần Thơ
18911,Trường Đại học Y-Dược Cần Thơ,ĐH Y Dược Cần Thơ
18912,truong dai hoc y duoc can tho,ĐH Y Dược Cần Thơ
18913,Đại Học Y Dược Cần Thơ,ĐH Y Dược Cần Thơ
18914,ĐẠI HỌC Y HẢI PHÒNG,ĐH Y Dược Hải Phòng
18915,Đại học y Hải Phòng,ĐH Y Dược Hải Phòng
18916,Đại học Y Hải Phòng,ĐH Y Dược Hải Phòng
18917,Đại Học Y Dược Hải phòng,ĐH Y Dược Hải Phòng
18918,Trường Đại học Y Dược Hải Phòng,ĐH Y Dược Hải Phòng
18919,DH Y Hai Phong,ĐH Y Dược Hải Phòng
18920,Trường Đại Học Y Hải Phòng,ĐH Y Dược Hải Phòng
18921,DAI HOC Y HAI PHONG,ĐH Y Dược Hải Phòng
18922,Dai hoc y hai phong,ĐH Y Dược Hải Phòng
18923,Đại Học Y Hải Phòng,ĐH Y Dược Hải Phòng
18924,ĐH Y Dược Hải Phòng,ĐH Y Dược Hải Phòng
18925,Trường Đại Học Y Dược Hải Phòng,ĐH Y Dược Hải Phòng
18926,Trường Đại Học Y Dược Hải Phòng,ĐH Y Dược Hải Phòng
18927,Đh Y Hải Phòng,ĐH Y Dược Hải Phòng
18928,Hue University of Medicine and Phamarcy,ĐH Y Dược Huế
18929,Trường Đại Học Y Dược Huế,ĐH Y Dược Huế
18930,Trường Đại học Y Dược Huế,ĐH Y Dược Huế
18931,Đại học Y khoa Huế,ĐH Y Dược Huế
18932,Trường Đại Học Y Dược Huế,ĐH Y Dược Huế
18933,ĐHYD HUẾ,ĐH Y Dược Huế
18934,Faculty of Public Health - Hue College of Medicine and Pharmacy,ĐH Y Dược Huế
18935,Hue College of medicine and pharmacy,ĐH Y Dược Huế
