text,normed_text,lower_text,lower_normed_text
THPT Buôn Đôn,THPT Buôn Đôn,thpt buôn đôn,thpt buôn đôn
PTTH Nguyên chí thanh,THPT Nguyễn Chí Thanh,ptth nguyên chí thanh,thpt nguyễn chí thanh
Trường PTTH Duy Tân - Kon Tum,THPT Duy Tân,trường ptth duy tân - kon tum,thpt duy tân
Trường THPT Xuân Thọ,THPT Xuân Thọ,trường thpt xuân thọ,thpt xuân thọ
Trường THPTTH Hoàng Diệu - Sóc Trăng,THPT Hoàng Diệu,trường thptth hoàng diệu - sóc trăng,thpt hoàng diệu
Trường THPT bancong Quang Ninh,THPT Bán Công Quảng Ninh,trường thpt bancong quang ninh,thpt bán công quảng ninh
dai hoc quy nhon news,ĐH Quy Nhơn,dai hoc quy nhon news,đh quy nhơn
Trường PTTH Trần Quý Cáp - Hội An - Quảng Nam,THPT Trần Quý Cáp,trường ptth trần quý cáp - hội an - quảng nam,thpt trần quý cáp
cao đẵng y dược huế,CĐ Y tế Huế,cao đẵng y dược huế,cđ y tế huế
truong ptth thuan hoa chau thanh soc trang,THPT Thuận Hòa,truong ptth thuan hoa chau thanh soc trang,thpt thuận hòa
cd nghe tay sai gon,CĐ Nghề Tây Sài Gòn,cd nghe tay sai gon,cđ nghề tây sài gòn
trường thpt le qui don,THPT Lê Quý Đôn,trường thpt le qui don,thpt lê quý đôn
so 2 tu nghia,THPT Tư Nghĩa,so 2 tu nghia,thpt tư nghĩa
Trường THPT Tô Hiến Thành Thành Phố thanh Hóa,THPT Tô Hiến Thành,trường thpt tô hiến thành thành phố thanh hóa,thpt tô hiến thành
TT GDTX tan chau,GDNN-GDTX Tân Châu,tt gdtx tan chau,gdnn-gdtx tân châu
Trường đại học nội vụ hà nôi,ĐH Nội Vụ Hà Nội,trường đại học nội vụ hà nôi,đh nội vụ hà nội
Trường THPT ban cong phuoc my trung,THPT Bán công Phước Mỹ Trung,trường thpt ban cong phuoc my trung,thpt bán công phước mỹ trung
THPT Tran Quang Dieu,THPT Trần Quang Diệu,thpt tran quang dieu,thpt trần quang diệu
Đại Học Mỏ Địa Chất,ĐH Mỏ Địa Chất,đại học mỏ địa chất,đh mỏ địa chất
truong cao dang nghe ki thuat cong nghiep viet nam - han quoc,CĐ Kỹ Thuật Công Nghiệp Việt Nam Hàn Quốc,truong cao dang nghe ki thuat cong nghiep viet nam - han quoc,cđ kỹ thuật công nghiệp việt nam hàn quốc
THPT Nguyễn Thị Giang ( Vĩnh Phúc ),THPT Nguyễn Thị Giang,thpt nguyễn thị giang ( vĩnh phúc ),thpt nguyễn thị giang
Cao Đẳng Nghề Dầu Khí PVMTC,CĐ Dầu khí,cao đẳng nghề dầu khí pvmtc,cđ dầu khí
truong Trường THPT tran can,THPT Trần Can,truong trường thpt tran can,thpt trần can
Trường THPT tan duc,THPT Tân Đức,trường thpt tan duc,thpt tân đức
Trường THPT thu khoa thua,THPT Thủ Khoa Thừa,trường thpt thu khoa thua,thpt thủ khoa thừa
THPT Thăng Long - Hà Nội,THPT Thăng Long,thpt thăng long - hà nội,thpt thăng long
HVCNBCVT,HV Công nghệ Bưu chính viễn thông,hvcnbcvt,hv công nghệ bưu chính viễn thông
Y khoa vjnh,ĐH Y khoa Vinh,y khoa vjnh,đh y khoa vinh
Trường Đại Học Công An Nhân Dân,ĐH Cảnh sát Nhân dân,trường đại học công an nhân dân,đh cảnh sát nhân dân
dai hoc kinh te-ky thuat cong nghiep ( uneti),ĐH Kinh tế Kỹ thuật Công nghiệp,dai hoc kinh te-ky thuat cong nghiep ( uneti),đh kinh tế kỹ thuật công nghiệp
Danang University of Economics (Trường Đại học Kinh tế Đà Nẵng),ĐH Kinh tế - ĐH Đà Nẵng,danang university of economics (trường đại học kinh tế đà nẵng),đh kinh tế - đh đà nẵng
truong Trường THPT ban cong hung vuong,THPT Bán Công Hùng Vương,truong trường thpt ban cong hung vuong,thpt bán công hùng vương
PTTH NGUYỄN TRUNG TRỰC GV,THPT Nguyễn Trung Trực,ptth nguyễn trung trực gv,thpt nguyễn trung trực
Trường THPT Kim Xuyên,THPT Kim Xuyên,trường thpt kim xuyên,thpt kim xuyên
truong trung hoc pt le quy don lam ha,THPT Lê Quý Đôn,truong trung hoc pt le quy don lam ha,thpt lê quý đôn
Trường THPT Phan Dinh Phung song cau phu yen,THPT Phan Đình Phùng,trường thpt phan dinh phung song cau phu yen,thpt phan đình phùng
THPT Đỗ Đăng Tuyển,THPT Đỗ Đăng Tuyển,thpt đỗ đăng tuyển,thpt đỗ đăng tuyển
DH CNTT Gia Dinh,ĐH Gia Định,dh cntt gia dinh,đh gia định
Đại học Khoa học xã hội và Nhân Văn - ĐHQG Hà Nội,ĐH Khoa học Xã hội và Nhân văn - ĐH Quốc gia Hà Nội,đại học khoa học xã hội và nhân văn - đhqg hà nội,đh khoa học xã hội và nhân văn - đh quốc gia hà nội
trường THPT Trà Ôn,THPT Trà Ôn,trường thpt trà ôn,thpt trà ôn
THPT B Nghĩa Hưng,THPT Nghĩa Hưng,thpt b nghĩa hưng,thpt nghĩa hưng
Trường THPT Gành Hào,THPT Gành Hào,trường thpt gành hào,thpt gành hào
Trường Đại Học Giao Thông Vận Tải  tại TP.HCM,ĐH Giao thông Vận tải tại TP.HCM,trường đại học giao thông vận tải  tại tp.hcm,đh giao thông vận tải tại tp.hcm
"Trường THPT Nguyễn Huệ, Quận, TPHCM",THPT Nguyễn Huệ,"trường thpt nguyễn huệ, quận, tphcm",thpt nguyễn huệ
Cđ XÂY DỰNG 1 - Ctc1,CĐ Xây dựng,cđ xây dựng 1 - ctc1,cđ xây dựng
ĐH Nguyễn Tất Thành - NTT,ĐH Nguyễn Tất Thành,đh nguyễn tất thành - ntt,đh nguyễn tất thành
pt hermann gmeiner da lat,THPT Hermann Gmeiner,pt hermann gmeiner da lat,thpt hermann gmeiner
Trường THPT Trung Lâp,THPT Trung Lập,trường thpt trung lâp,thpt trung lập
"Trường thpt Nguyễn Hiền, Duy Xuyên, Quảng Nam",THPT Nguyễn Hiền,"trường thpt nguyễn hiền, duy xuyên, quảng nam",thpt nguyễn hiền
Trung Hoc Pho Thong Yen Khanh A,THPT Yên Khánh,trung hoc pho thong yen khanh a,thpt yên khánh
Đại Học Thể DụcThể Thao Đà Nẵng,ĐH Thể DụcThể Thao Đà Nẵng,đại học thể dụcthể thao đà nẵng,đh thể dụcthể thao đà nẵng
Trung học phổ thông Trường Long Tây,THPT Trường Long Tây,trung học phổ thông trường long tây,thpt trường long tây
truong PTTH thới long,THPT Thới Long,truong ptth thới long,thpt thới long
TTGDTXHN-Quận Cẩm Lệ,GDNN-GDTX Quận Cẩm Lệ,ttgdtxhn-quận cẩm lệ,gdnn-gdtx quận cẩm lệ
DH Kinh tế Công nghiệp Long An,ĐH Kinh tế Công nghiệp Long An,dh kinh tế công nghiệp long an,đh kinh tế công nghiệp long an
Thu Xa High School,THPT Thu Xà,thu xa high school,thpt thu xà
THPT Cai Nuoc,THPT Cái Nước,thpt cai nuoc,thpt cái nước
trung hoc pho thong van lang,THPT Văn Lang,trung hoc pho thong van lang,thpt văn lang
truong trung hoc pho thong quang thanh,THPT Quảng Thanh,truong trung hoc pho thong quang thanh,thpt quảng thanh
Trường Cao Đẳng Bến Tre,CĐ Bến Tre,trường cao đẳng bến tre,cđ bến tre
 Hanoi Procuratorate University ,ĐH Kiểm sát, hanoi procuratorate university ,đh kiểm sát
THPT Mỹ Quý,THPT Mỹ Quí,thpt mỹ quý,thpt mỹ quí
THPT Sư Vạn Hạnh,THCS-THPT Vạn Hạnh,thpt sư vạn hạnh,thcs-thpt vạn hạnh
lương văn tuỵ ninh bình,THPT chuyên Lương Văn Tụy,lương văn tuỵ ninh bình,thpt chuyên lương văn tụy
THPT Chần Ân Chiêm,THPT Trần Ân Chiêm,thpt chần ân chiêm,thpt trần ân chiêm
truong dh cong nghiep viet tri,ĐH Công nghiệp Việt trì,truong dh cong nghiep viet tri,đh công nghiệp việt trì
THPT TP Dien Bien Phu,THPT TP Điện Biên Phủ,thpt tp dien bien phu,thpt tp điện biên phủ
Đại Học Nguyễn Trãi,ĐH Nguyễn Trãi,đại học nguyễn trãi,đh nguyễn trãi
Trường THCS va Trường THPT viet trung,THCS-THPT Việt Trung,trường thcs va trường thpt viet trung,thcs-thpt việt trung
thpt tran hung dao ha dong,THPT Trần Hưng Đạo,thpt tran hung dao ha dong,thpt trần hưng đạo
Trường THPT xuan tho,THPT Xuân Thọ,trường thpt xuan tho,thpt xuân thọ
Trường THPT Dog Loc,THPT Đồng Lộc,trường thpt dog loc,thpt đồng lộc
Đại Học Ngân Hàng TP.HCM,ĐH Ngân Hàng TP.HCM,đại học ngân hàng tp.hcm,đh ngân hàng tp.hcm
Trường THPTTH Mộc Hóa,THPT Mộc Hoá,trường thptth mộc hóa,thpt mộc hoá
THPT Bùi Thị Xuân - Biên Hòa,THPT Bùi Thị Xuân,thpt bùi thị xuân - biên hòa,thpt bùi thị xuân
THPT Núi Thành - Quảng Nam,THPT Núi Thành,thpt núi thành - quảng nam,thpt núi thành
THPT Thăng Long HP,THPT Thăng Long,thpt thăng long hp,thpt thăng long
THPT Nguyễn Trãi An Khê,THPT Nguyễn Trãi,thpt nguyễn trãi an khê,thpt nguyễn trãi
thpt da teh,THPT Đạ Tẻh,thpt da teh,thpt đạ tẻh
lê quý đôn-long bình tân,THPT Lê Qúy Đôn,lê quý đôn-long bình tân,thpt lê qúy đôn
Trường THPTsố1 Bảo Thắng,THPT Bảo Thắng,trường thptsố1 bảo thắng,thpt bảo thắng
THPT Gia Hoi,THPT Gia Hội,thpt gia hoi,thpt gia hội
THPT E KIM BANG,THPT Kim Bảng,thpt e kim bang,thpt kim bảng
Trường THPT Trần Quốc Tuấn - Thái Nguyên,THPT Trần Quốc Tuấn,trường thpt trần quốc tuấn - thái nguyên,thpt trần quốc tuấn
thph tran binh trong,THPT Trần Bình Trọng,thph tran binh trong,thpt trần bình trọng
TT Giáo dục thường xuyên q12,GDNN-GDTX TP.HCM,tt giáo dục thường xuyên q12,gdnn-gdtx tp.hcm
truong  PTTH HAI LANG,THPT Hải Lăng,truong  ptth hai lang,thpt hải lăng
trung học phổ thông cao thắng,THPT Cao Thắng,trung học phổ thông cao thắng,thpt cao thắng
Trường THPT Nguyễn Xuân Ôn,THPT Nguyễn Xuân Ôn,trường thpt nguyễn xuân ôn,thpt nguyễn xuân ôn
trường trung cấp kĩ thuật hải quân cái lái,TC Kỹ Thuật Hải Quân,trường trung cấp kĩ thuật hải quân cái lái,tc kỹ thuật hải quân
Tc bách nghệ thanh hóa,TC Bách Nghệ Thanh Hóa,tc bách nghệ thanh hóa,tc bách nghệ thanh hóa
Trường THPT Cư M'gar,THPT Cư M'Gar,trường thpt cư m'gar,thpt cư m'gar
kinh doanh va cong nghe hn,ĐH Kinh doanh và Công nghệ Hà Nội,kinh doanh va cong nghe hn,đh kinh doanh và công nghệ hà nội
THPT Trừong Chinh Quận 12,THPT Trường Chinh,thpt trừong chinh quận 12,thpt trường chinh
THPT Lương Tài 3  - Bắc Ninh,THPT Lương Tài,thpt lương tài 3  - bắc ninh,thpt lương tài
truong trung hoc pho thong vinh loc,THPT Vinh Lộc,truong trung hoc pho thong vinh loc,thpt vinh lộc
hoc vien ki thuat quan su khoa hoa li ki thuat,HV Kỹ thuật Quân sự,hoc vien ki thuat quan su khoa hoa li ki thuat,hv kỹ thuật quân sự
Trung cấp Thuỷ sản,CĐ Kinh Tế Kỹ Thuật và Thủy Sản,trung cấp thuỷ sản,cđ kinh tế kỹ thuật và thủy sản
"Trường THPT Chuyên Lê Khiết, Quảng Ngãi",THPT chuyên Lê Khiết,"trường thpt chuyên lê khiết, quảng ngãi",thpt chuyên lê khiết
Truog THPTAnh Son1,THPT Anh Sơn,truog thptanh son1,thpt anh sơn
cd sƯ phạm Hà nỘi,CĐ Sư Phạm Hà Nội,cd sư phạm hà nội,cđ sư phạm hà nội
Trường THPT thị xã Kiến Tường tỉnh Long An,THPT Kiến Tường,trường thpt thị xã kiến tường tỉnh long an,thpt kiến tường
trường trung học phổ thông huyện Giồng Riềng,THPT Giồng Riềng,trường trung học phổ thông huyện giồng riềng,thpt giồng riềng
Trường THPT Phan Châu Trinh,THPT Phan Châu Trinh,trường thpt phan châu trinh,thpt phan châu trinh
TTrường THPT Bung Lao,THPT Búng Lao,ttrường thpt bung lao,thpt búng lao
DAJ HOC MO TP.HCM,ĐH Mở TP.HCM,daj hoc mo tp.hcm,đh mở tp.hcm
Cao Đẳng Hàng Hải 1 hp,CĐ Hàng Hải,cao đẳng hàng hải 1 hp,cđ hàng hải
"thpt Quang Trung,Phước Thạnh,Củ Chi",THPT Quang Trung,"thpt quang trung,phước thạnh,củ chi",thpt quang trung
Trường THPT NGUYỄN THƯỢNG HIỀN,THPT Nguyễn Thượng Hiền,trường thpt nguyễn thượng hiền,thpt nguyễn thượng hiền
Trường ĐH Công Nghiệp Hà Nội,ĐH Công nghiệp Hà Nội,trường đh công nghiệp hà nội,đh công nghiệp hà nội
Trường THPT Cao ba khoac,THPT Cao Bá Quát,trường thpt cao ba khoac,thpt cao bá quát
Trường THPT Bố Hạ,THPT Bố Hạ,trường thpt bố hạ,thpt bố hạ
THPT Trần Quan Khải bà rịa-vũng tàu,THPT Trần Quang Khải,thpt trần quan khải bà rịa-vũng tàu,thpt trần quang khải
cd xay dung so 1 ctc1,CĐ Xây dựng,cd xay dung so 1 ctc1,cđ xây dựng
Trường THPT Sào Nam.Qn,THPT Sào Nam,trường thpt sào nam.qn,thpt sào nam
Trường THCS Và THPT Nhân Văn,THCS-THPT Nhân Văn,trường thcs và thpt nhân văn,thcs-thpt nhân văn
THPT THANH LIÊM.HÓC MÔN,THPT Thanh Liêm,thpt thanh liêm.hóc môn,thpt thanh liêm
Trung Tam Giao Duc Thuong Xuyen Q3,GDNN-GDTX TP.HCM,trung tam giao duc thuong xuyen q3,gdnn-gdtx tp.hcm
THPT Nguyễn Du - Hải Dương,THPT Nguyễn Du,thpt nguyễn du - hải dương,thpt nguyễn du
THPT Hoang Quoc Viet,THPT Hoàng Quốc Việt,thpt hoang quoc viet,thpt hoàng quốc việt
THPT Kim Thành II - Hải Dương,THPT Kim Thành,thpt kim thành ii - hải dương,thpt kim thành
THPT Nam Ki Khoi Nghia,THPT Nam Kỳ Khởi Nghĩa,thpt nam ki khoi nghia,thpt nam kỳ khởi nghĩa
THPT Mỹ Thọ,THPT Mỹ Tho,thpt mỹ thọ,thpt mỹ tho
LCĐ Khoa Răng Hàm Mặt - Đại Học Kỹ Thuật Y Dược Đà Nẵng,ĐH Kỹ Thuật Y Dược Đà Nẵng,lcđ khoa răng hàm mặt - đại học kỹ thuật y dược đà nẵng,đh kỹ thuật y dược đà nẵng
Cao dang ktkh dn,CĐ Kinh tế Kế hoạch Đà Nẵng,cao dang ktkh dn,cđ kinh tế kế hoạch đà nẵng
Trường THPT pho co dieu,THPT Phó Cơ Điều,trường thpt pho co dieu,thpt phó cơ điều
THPT TRAN DAI NGHIA TAY NINH,THPT Trần Đại Nghĩa,thpt tran dai nghia tay ninh,thpt trần đại nghĩa
Dai Hoc Thuy Loi HN,ĐH Thủy Lợi,dai hoc thuy loi hn,đh thủy lợi
Thu Duc Highschool,THPT Thủ Đức,thu duc highschool,thpt thủ đức
Trường THPT minh hoa,THPT Minh Hoá,trường thpt minh hoa,thpt minh hoá
THPT Yên Ninh - Thái Nguyên,THPT Yên Ninh,thpt yên ninh - thái nguyên,thpt yên ninh
cdsp quang tri,CĐ sư phạm Quảng Trị,cdsp quang tri,cđ sư phạm quảng trị
Trường THPT Nguyễn Khuyến q10,THPT Nguyễn Khuyến,trường thpt nguyễn khuyến q10,thpt nguyễn khuyến
Quảng Bình University,ĐH Quảng Bình,quảng bình university,đh quảng bình
PTTH GÒ VẤP,THPT Gò Vấp,ptth gò vấp,thpt gò vấp
truong cao dang y tetien giang,CĐ Y tế Tiền Giang,truong cao dang y tetien giang,cđ y tế tiền giang
Trường THPT so 1 huyen sa pa,THPT Sa Pa,trường thpt so 1 huyen sa pa,thpt sa pa
THPT Chau Thanh A-Tran Van On-Ben Tre,THPT Trần Văn Ơn,thpt chau thanh a-tran van on-ben tre,thpt trần văn ơn
Trường THPT Cẩm Giàng - HD,THPT Cẩm Giàng,trường thpt cẩm giàng - hd,thpt cẩm giàng
THPT Lê Quý Đôn - Bình Phước,THPT Lê Quý Đôn,thpt lê quý đôn - bình phước,thpt lê quý đôn
Trường THPT Long Hải- Phước Tỉnh,THPT Long Hải,trường thpt long hải- phước tỉnh,thpt long hải
Trường Đại học Kỹ thuật Lê Quý Đôn,HV Kỹ thuật Quân sự,trường đại học kỹ thuật lê quý đôn,hv kỹ thuật quân sự
trung hoc phổ thông nguyễn văn cừ hóc môn,THPT Nguyễn Văn Cừ,trung hoc phổ thông nguyễn văn cừ hóc môn,thpt nguyễn văn cừ
Trường Đại Học Thông Tin Liên Lạc - TCU,ĐH Thông tin Liên lạc,trường đại học thông tin liên lạc - tcu,đh thông tin liên lạc
tt gdnn gdtx tp tan an,GDNN-GDTX Tân An,tt gdnn gdtx tp tan an,gdnn-gdtx tân an
Trường THPT tran huu trang,THPT Trần Hữu Trang,trường thpt tran huu trang,thpt trần hữu trang
truông cap 3 Nghi Loc 1,THPT Nguyễn Duy Trinh,truông cap 3 nghi loc 1,thpt nguyễn duy trinh
Trường Cao Đẳng Sư phạm Thừa Thiên Huế,CĐ Sư phạm Huế,trường cao đẳng sư phạm thừa thiên huế,cđ sư phạm huế
Trường Cao Đẳng Giao thông vận tải hanoi,CĐ Giao Thông Vận Tải,trường cao đẳng giao thông vận tải hanoi,cđ giao thông vận tải
Bắc Thăng Lonng,THPT Bắc Thăng Long,bắc thăng lonng,thpt bắc thăng long
Trường THPT hiep hoa so 5,THPT Hiệp Hòa,trường thpt hiep hoa so 5,thpt hiệp hòa
Cao Dang Bach Khoa DN,CĐ Bách Khoa Đà Nẵng,cao dang bach khoa dn,cđ bách khoa đà nẵng
Trường trung học phổ thông Châu Thành tinh kien giang,THPT Châu Thành,trường trung học phổ thông châu thành tinh kien giang,thpt châu thành
dh kt yte hai duong,ĐH Kỹ thuật Y tế Hải Dương,dh kt yte hai duong,đh kỹ thuật y tế hải dương
Trường THPT chuyen Le Hong Phong-ND,THPT chuyên Lê Hồng Phong,trường thpt chuyen le hong phong-nd,thpt chuyên lê hồng phong
trung Học nhữ Văn Lan,THPT Nhữ Văn Lan,trung học nhữ văn lan,thpt nhữ văn lan
Trường THPT Hùng Vương - Quy Nhơn,THPT Hùng Vương,trường thpt hùng vương - quy nhơn,thpt hùng vương
Trường THPT so 4 huyen van ban,THPT Văn Bàn,trường thpt so 4 huyen van ban,thpt văn bàn
Trường Cao Đẳng Công Nghệ Thông Tin Hữu Nghị Việt Hàn - Viethanit,ĐH Công nghệ Thông tin và Truyền thông Việt Hàn,trường cao đẳng công nghệ thông tin hữu nghị việt hàn - viethanit,đh công nghệ thông tin và truyền thông việt hàn
Truong THPT Le Van Tam,THPT Lê Văn Tám,truong thpt le van tam,thpt lê văn tám
THPT hongduc haiduong,THPT Hồng Đức,thpt hongduc haiduong,thpt hồng đức
truong cao dang cong nghiep 4,ĐH Công nghiệp TP.HCM,truong cao dang cong nghiep 4,đh công nghiệp tp.hcm
tc nghe ky thuat va nghiep vu du lich,TC Nghề Kỹ thuật và Nghiệp vụ Du Lịch,tc nghe ky thuat va nghiep vu du lich,tc nghề kỹ thuật và nghiệp vụ du lịch
Trung Học Phổ Thông Yên KhánhA,THPT Yên Khánh,trung học phổ thông yên khánha,thpt yên khánh
Trường THPT nhi chieu tu 28 4 2017,THPT Nhị Chiểu,trường thpt nhi chieu tu 28 4 2017,thpt nhị chiểu
tt gdnn gdtx thi xa nga bay,GDNN-GDTX thị xã Ngã Bảy,tt gdnn gdtx thi xa nga bay,gdnn-gdtx thị xã ngã bảy
Trườg THPT Lê Trực,THPT Lê Trực,trườg thpt lê trực,thpt lê trực
trung hoc pho thong huong son ha tinh,THPT Hương Sơn,trung hoc pho thong huong son ha tinh,thpt hương sơn
"Phổ Thông Ngô Quyền, Thái Nguyên",THPT Ngô Quyền,"phổ thông ngô quyền, thái nguyên",thpt ngô quyền
Trường Đại học Y Dược Huế,ĐH Y Dược Huế,trường đại học y dược huế,đh y dược huế
THPT Ban Cong Dong Hung,THPT Bán Công Đông Hưng,thpt ban cong dong hung,thpt bán công đông hưng
"RMIT Melbourne, Australia",ĐH RMIT,"rmit melbourne, australia",đh rmit
trường THPT Nguyễn Khuyến tx Vĩnh Châu,THPT Nguyễn Khuyến,trường thpt nguyễn khuyến tx vĩnh châu,thpt nguyễn khuyến
Trường trung học phổ thông Thanh Liêm B,THPT Thanh Liêm,trường trung học phổ thông thanh liêm b,thpt thanh liêm
VNU-IS,ĐH Quốc gia Hà Nội,vnu-is,đh quốc gia hà nội
PT Hermann Gmeiner Ca Mau,THPT Hermann Gmeiner,pt hermann gmeiner ca mau,thpt hermann gmeiner
"Trường THPT Hùng Vương, Qui Nhơn",THPT Hùng Vương,"trường thpt hùng vương, qui nhơn",thpt hùng vương
trường THPT duyên hải,THPT Duyên Hải,trường thpt duyên hải,thpt duyên hải
pho thong van tuong,THPT Vạn Tường,pho thong van tuong,thpt vạn tường
THPT Nguyễn Văn TRỗi - TP. Nha Trang,THPT Nguyễn Văn Trỗi,thpt nguyễn văn trỗi - tp. nha trang,thpt nguyễn văn trỗi
THPT Số 1 Bố Trạch - Quảng Bình,THPT Bố Trạch,thpt số 1 bố trạch - quảng bình,thpt bố trạch
PT Cam le,THPT Cẩm Lệ,pt cam le,thpt cẩm lệ
Co dang cong nghiep tuy hoa,CĐ Công Thương Miền Trung,co dang cong nghiep tuy hoa,cđ công thương miền trung
Trường THPT lac long quan,THPT Lạc Long Quân,trường thpt lac long quan,thpt lạc long quân
Trường THPT Nguyễn Trãi Ninh Hòa,THPT Nguyễn Trãi,trường thpt nguyễn trãi ninh hòa,thpt nguyễn trãi
THPT Phùng Khắc Khoan-Thạch Thất,THPT Phùng Khắc Khoan,thpt phùng khắc khoan-thạch thất,thpt phùng khắc khoan
TT GDTX huyện phú lộc TTH,GDNN-GDTX Huyện Phú Lộc,tt gdtx huyện phú lộc tth,gdnn-gdtx huyện phú lộc
THPH CHUYEN HUNG YEN,THPT chuyên Hưng Yên,thph chuyen hung yen,thpt chuyên hưng yên
gdnn gdtx huyen co do,GDNN-GDTX Cờ Đỏ,gdnn gdtx huyen co do,gdnn-gdtx cờ đỏ
"THPT  Nguyễn Đình Chiểu, Minh Châu, Tây Ninh",THPT Nguyễn Đình Chiểu,"thpt  nguyễn đình chiểu, minh châu, tây ninh",thpt nguyễn đình chiểu
Trường Cao Đẳng Nghề Cơ Điện Hà Nội,CĐ Cơ Điện Hà Nội,trường cao đẳng nghề cơ điện hà nội,cđ cơ điện hà nội
truong trung hoc pho thong my phuoc tay,THPT Mỹ Phước Tây,truong trung hoc pho thong my phuoc tay,thpt mỹ phước tây
Hoc Vien An ning,HV An ninh Nhân Dân,hoc vien an ning,hv an ninh nhân dân
Truong Dai Hoc Tai Chinh Ke Toan,HV tài chính,truong dai hoc tai chinh ke toan,hv tài chính
Phổ thông Chu Văn An - Ninh Thuận,THPT Chu Văn An,phổ thông chu văn an - ninh thuận,thpt chu văn an
truong trung cap bach nghe ct,TC Bách Nghệ CT,truong trung cap bach nghe ct,tc bách nghệ ct
trung học vĩnh thạnh cần thơ,THPT Vĩnh  Thạnh,trung học vĩnh thạnh cần thơ,thpt vĩnh  thạnh
dai doc phan chau trinh,ĐH Phan Châu Trinh,dai doc phan chau trinh,đh phan châu trinh
THPT Đoàn Thị Điễm,THPT Dân Lập Đoàn Thị Điểm,thpt đoàn thị điễm,thpt dân lập đoàn thị điểm
truong nghe thuat quan doi,ĐH Văn hóa Nghệ thuật Quân đội,truong nghe thuat quan doi,đh văn hóa nghệ thuật quân đội
trung cap canh sat,TC Cảnh sát nhân dân,trung cap canh sat,tc cảnh sát nhân dân
Trương PTTH Tây Thuỵ Anh,THPT Tây Thuỵ Anh,trương ptth tây thuỵ anh,thpt tây thuỵ anh
tt gdnn gdtx tien hai,GDNN-GDTX Tiền Hải,tt gdnn gdtx tien hai,gdnn-gdtx tiền hải
Trung Học Phổ Thông Giao Thủy A,THPT Giao Thủy,trung học phổ thông giao thủy a,thpt giao thủy
Cao Đẳng Nghề Kĩ Thuật Công Nghệ TP.HCM,CĐ Kỹ Nghệ,cao đẳng nghề kĩ thuật công nghệ tp.hcm,cđ kỹ nghệ
Học Viện Quân Y - Hệ Quân sự,HV Quân Y,học viện quân y - hệ quân sự,hv quân y
Trường THPT Bình Sơn -Nhân Đạo - Sông lô - Vĩnh Phúc,THPT Bình Sơn,trường thpt bình sơn -nhân đạo - sông lô - vĩnh phúc,thpt bình sơn
THPT Ngô Gia Tự Quận 8 HCM,THPT Ngô Gia Tự,thpt ngô gia tự quận 8 hcm,thpt ngô gia tự
Trường THPT Đô Lương 2,THPT Đô Lương,trường thpt đô lương 2,thpt đô lương
trung cap kinh te cong nghe dong nam,TC Kinh tế Công nghệ Đông Nam,trung cap kinh te cong nghe dong nam,tc kinh tế công nghệ đông nam
Trường Cao đẳng Y Dược Hà Nội,CĐ Y Dược Hà Nội,trường cao đẳng y dược hà nội,cđ y dược hà nội
THPH ky anh,THPT Kỳ Anh,thph ky anh,thpt kỳ anh
Trường THPT LÊ QUÝ ĐÔN TP. HCM,THPT Lê Quý Đôn,trường thpt lê quý đôn tp. hcm,thpt lê quý đôn
THPT Thanh Binh 2,THPT Thanh Bình,thpt thanh binh 2,thpt thanh bình
"THPT Hòn Đất, Kiên Giang",THPT Hòn Đất,"thpt hòn đất, kiên giang",thpt hòn đất
trung hoc pho thong ba dinh,THPT Ba Đình,trung hoc pho thong ba dinh,thpt ba đình
Thpt quang trung krong pak dak lak,THPT Quang Trung,thpt quang trung krong pak dak lak,thpt quang trung
Đại học KHXH và NV Hà Nội,ĐH Khoa học Xã hội và Nhân văn - ĐH Quốc gia Hà Nội,đại học khxh và nv hà nội,đh khoa học xã hội và nhân văn - đh quốc gia hà nội
Trường cao đẳng nghề Công nghiệp Hải Phòng,CĐ Công Nghiệp Hải Phòng,trường cao đẳng nghề công nghiệp hải phòng,cđ công nghiệp hải phòng
Yen khanh B khoa 2002,THPT Yên Khánh,yen khanh b khoa 2002,thpt yên khánh
TT GDTX phu loc,GDNN-GDTX Phú Lộc,tt gdtx phu loc,gdnn-gdtx phú lộc
Trường THPT huynh van sam,THPT Huỳnh Văn Sâm,trường thpt huynh van sam,thpt huỳnh văn sâm
Trường THPT Lê Lợi-Đông Hà,THPT Lê Lợi,trường thpt lê lợi-đông hà,thpt lê lợi
THPT Phước Bửu,THPT Phước Bửu,thpt phước bửu,thpt phước bửu
truong trung hoc pho thong tran can,THPT Trần Can,truong trung hoc pho thong tran can,thpt trần can
truong trung hoc pho thong trieu phong,THPT Triệu Phong,truong trung hoc pho thong trieu phong,thpt triệu phong
Trường THPT Phú Tâm Châu Thành Sóc Trăng,THPT Phú Tâm,trường thpt phú tâm châu thành sóc trăng,thpt phú tâm
QNUI,ĐH Công Nghiệp Quảng Ninh,qnui,đh công nghiệp quảng ninh
trung học phổ thông Bắc Kiến Xương,THPT Bắc Kiến Xương,trung học phổ thông bắc kiến xương,thpt bắc kiến xương
trung học phổ thông nghi lộc 2,THPT Nghi Lộc,trung học phổ thông nghi lộc 2,thpt nghi lộc
Trường THPT hau loc 4,THPT Hậu Lộc,trường thpt hau loc 4,thpt hậu lộc
"THPT Quanng Trung,Hai Phong",THPT Quang Trung,"thpt quanng trung,hai phong",thpt quang trung
