text,normed_text,normed_text_2
THCS Duyên Hà,Trường THCS Duyên Hà,THCS Duyên Hà
Trường tiểu học Vĩnh Hội,Trường Tiểu Học Vĩnh Hội,Tiểu Học Vĩnh Hội
Trường BDVH 218 Lý Tự Trọng,Trường Bồi dưỡng Văn hóa 218 Lý Tự Trọng,Bồi dưỡng Văn hóa 218 Lý Tự Trọng
trung hoc pho thong Quang Xuong 1,Trường THPT Quảng Xương 1,THPT Quảng Xương 1
trường THPTTT Trương Vĩnh Ký,"Trường TH, THCS và THPT Trương Vĩnh Ký","TH, THCS và THPT Trương Vĩnh Ký"
tthcs Nguyen Van Luong,Trường THCS Nguyễn Văn Luông,THCS Nguyễn Văn Luông
THPT Long Khánh,Trường THPT Long Khánh,THPT Long Khánh
TT GDTX - Quận 2,Trung Tâm Giáo dục Thường Xuyên Quận 2,Giáo dục Thường Xuyên Quận 2
THPT nguyen huu canh - binh tan,Trường THPT Nguyễn Hữu Cảnh,THPT Nguyễn Hữu Cảnh
"Phu Tan,T.An Giang",Phú An,Phú An
Truong THPT Cao Lanh 1,Trường Thpt Cao Lãnh 1,Thpt Cao Lãnh 1
ĐH Sư Phạm Đồng Tháp,Trường Đại học Đồng Tháp,Đại học Đồng Tháp
Truong THCS binh chieu,Trường THCS Bình Chiểu,THCS Bình Chiểu
Trường ĐHSP TP. Hồ Chí Minh,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,Đại học Sư phạm Thành phố Hồ Chí Minh
THPT Trần Quang Khải Q11,Trường THPT Trần Quang Khải,THPT Trần Quang Khải
Trường Phổ Thông Trung Học Phạm hùng,Trường THPT Phạm Hùng,THPT Phạm Hùng
Cao đẳng kinh tế_ kỹ thuật Phú Lâm Q6,Trường Cao đẳng Kinh tế Kỹ thuật Tp.HCM,Cao đẳng Kinh tế Kỹ thuật Tp.HCM
THPT Lê Minh Xuân,Trường THPT Lê Minh Xuân,THPT Lê Minh Xuân
Trường THCS-THPT Long Cang,Trường Tiểu Học Long Cang,Tiểu Học Long Cang
Dai hoc ky nghe tphcm,Trường Cao Đẳng Kỹ Nghệ II,Cao Đẳng Kỹ Nghệ II
dai hoc mo thanh pho ho chi minh,Trường ĐH Mở TP. Hồ Chí Minh,ĐH Mở TP. Hồ Chí Minh
DH Cong nghe thong tin TPHCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM,Đại học Công nghệ Thông tin ĐHQG TP.HCM
PTTH Ba Tri,Trường trung học phổ thông Phan Thanh Giản,trung học phổ thông Phan Thanh Giản
Năng Khiếu TDTT - TP.HCM,Trường THPT Năng Khiếu Thể Dục Thể Thao,THPT Năng Khiếu Thể Dục Thể Thao
Truong THPT Long Binh,Trường Trung Học Phổ Thông Long Bình,Trung Học Phổ Thông Long Bình
ĐH Sưu Phạm TP.HCM,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,Đại học Sư phạm Thành phố Hồ Chí Minh
Trường THCS Thị Trấn Cái Tắc,Trường THCS Thị trấn Cái Tắc,THCS Thị trấn Cái Tắc
PT Hermann Gmeiner Bến Tre,Trường Phổ thông Hermann Gmeiner Bến Tre,Phổ thông Hermann Gmeiner Bến Tre
THCS Thạnh Mỹ Lợi,THCS Thạnh Mỹ Lợi,THCS Thạnh Mỹ Lợi
Phổ Thông Thủ Thiêm,Trường THPT Thủ Thiêm,THPT Thủ Thiêm
Trường THCS Thủy Thanh,Trường Trung Học Cơ Sở Thủy Thanh,Trung Học Cơ Sở Thủy Thanh
Trung Học Phổ Thông Đinh Tiên Hoàng Tp.VUngTau,Trường THPT Đinh Tiên Hoàng,THPT Đinh Tiên Hoàng
THPT ĐINH TIÊN HOÀNG TP VŨNG TÀU,Trường THPT Đinh Tiên Hoàng,THPT Đinh Tiên Hoàng
PTTH Thuận Thành số 1,Trường Trung học phổ thông Thuận Thành số 1,Trung học phổ thông Thuận Thành số 1
Đại học Luật Thành phố Hồ Chí Minh,Trường Đại học Luật TP.HCM,Đại học Luật TP.HCM
THCS Dương Bá Trạc,Trường THCS Dương Bá Trạc,THCS Dương Bá Trạc
trung học cơ sở phạm văn cội,Trường THCS Phạm Văn Cội,THCS Phạm Văn Cội
THCS Nguyễn Văn Trỗi,Trường THCS Nguyễn Văn Trỗi,THCS Nguyễn Văn Trỗi
Trường Trung Cấp Nghề Thủ Đức - TP. Hồ Chí Minh,Trường Trung Cấp Nghề Thủ Đức,Trung Cấp Nghề Thủ Đức
Cao Đẳng Kinh Tế Công Nghệ TPHCM,Trường Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh,Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh
Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Trường Đại học Sân khấu Điện ảnh Tp. Hồ Chí Minh,Đại học Sân khấu Điện ảnh Tp. Hồ Chí Minh
Edmonds Community College,Cao đẳng Cộng đồng Edmonds (Edmonds College),Cao đẳng Cộng đồng Edmonds
Coastline Community College,Cao đẳng Cộng đồng Coastline (Coastline Community College),Cao đẳng Cộng đồng Coastline
Ho Chi Minh City University of Fine Art,Trường Đại học Mỹ thuật TP.HCM,Đại học Mỹ thuật TP.HCM
THPT chuyên Thăng Long - Đà Lạt,Trường THPT chuyên Thăng Long,THPT chuyên Thăng Long
dh giao thong van tai co so 2,Phân hiệu Trường Đại học GTVT tại Tp. Hồ Chí Minh,Phân hiệu Trường Đại học GTVT tại Tp. Hồ Chí Minh
Trường THCS An Lạc,Trường THCS An Lạc,THCS An Lạc
Trường THPT Phù Cừ,Trường THPT Phù Cừ,THPT Phù Cừ
truong pho thong dan toc noi tru tpct,Trường Phổ Thông Dân Tộc Nội Trú,Phổ Thông Dân Tộc Nội Trú
Trường THCS Thanh Đa,Trường THCS Thanh Đa,THCS Thanh Đa
THPT Chuyên Bến Tre,Trường Trung học Phổ thông Chuyên Bến Tre,Trung học Phổ thông Chuyên Bến Tre
BUH-Banking University of Ho Chi Minh City,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2),Đại Học Ngân Hàng Tp Hồ Chí Minh
THPT Vĩnh Lộc B,Trường THPT Vĩnh Lộc B,THPT Vĩnh Lộc B
truong THCS Duong Ba Trac,Trường THCS Dương Bá Trạc,THCS Dương Bá Trạc
Truong THPT chuan quoc gia Vo Truong Toan quan 12 . tphcm,Trường THPT Võ Trường Toản,THPT Võ Trường Toản
TRƯỜNG TRUNG CẤP VIỆT KHOA,Trường Trung Cấp Nghề Việt Khoa,Trung Cấp Nghề Việt Khoa
Truong trung hoc pho thong Go Quao,Trường THPT Gò Quao,THPT Gò Quao
THPT Dĩ An - Bình Dương,Trường THPT Dĩ An,THPT Dĩ An
Trường THCS Sơn Định,Trường THCS Sơn Định,THCS Sơn Định
THCS Thị trấn Cờ Đỏ,Trường THCS Thị Trấn Cờ Đỏ,THCS Thị Trấn Cờ Đỏ
THPT chuyên Hùng Vương - Bình Dương,Trường THPT Chuyên Hùng Vương,THPT Chuyên Hùng Vương
Trường trung học cơ sở Dĩ An,Trường THCS Dĩ An,THCS Dĩ An
Trường THCS nghĩa lâm,Trường THCS Nghĩa Lâm,THCS Nghĩa Lâm
Trường THPT Tân Hưng,Trường THPT Tân Hưng,THPT Tân Hưng
Trường Ptth Cấp 2-3 Tam Bình Vĩnh Long,Trường THPT Tam Bình,THPT Tam Bình
THPT Nguyễn Hiền Q11,Trường THPT Nguyễn Hiền,THPT Nguyễn Hiền
Trường THPT Trần Thị Tâm,Trường THPT Trần Thị Tâm,THPT Trần Thị Tâm
Học viện hàng không Việt Nam - Vietnam Aviation Academy,Học viện Hàng không Việt Nam,Học viện Hàng không Việt Nam
Trường THCS Hùng Vương,Trường THCS Hùng Vương,THCS Hùng Vương
Trường THCS Lạc Hồng quận 10,THCS Lạc Hồng,THCS Lạc Hồng
THPT Vạn Hạnh,Trường TiH-THCS-THPT Vạn Hạnh,TiH-THCS-THPT Vạn Hạnh
"THPT  An Nhơn Tây, Củ Chi, TP. Hồ Chí Minh",Trường THPT An Nhơn Tây,THPT An Nhơn Tây
Trường Cao đẳng Cộng Đồng Bình Thuận,Trường Cao Đẳng Cộng Đồng Bình Thuận,Cao Đẳng Cộng Đồng Bình Thuận
Havard University USA,Đại học Harvard (Harvard University),Đại học Harvard
Truong Trung Hoc Co So An Thoi Dong,Trường THCS An Thới Đông,THCS An Thới Đông
Trường Trung Học Phổ Thông Bình Sơn,Trường THPT Bình Sơn,THPT Bình Sơn
THPT Bình Tân,Trường THPT Bình Tân,THPT Bình Tân
THPT DL An Đông,Trường Thpt Dân Lập An Đông,Thpt Dân Lập An Đông
cao dang kinh te ki thuat vinatex tphcm,Trường Cao Đẳng Công Nghệ TP.HCM,Cao Đẳng Công Nghệ TP.HCM
THPT BC PHAN BOI CHAU,Trường THPT Phan Bội Châu,THPT Phan Bội Châu
Highschool for the Gifted-VNU HCMC [PTNK],Phổ Thông Năng Khiếu - Đại học Quốc Gia,Phổ Thông Năng Khiếu - Đại học Quốc Gia
Trung Học cơ sở Lê Anh Xuân Quận 11 HCM,Trường THCS Lê Anh Xuân,THCS Lê Anh Xuân
Trường tiểu học Him Lam,Trường Tiểu học Him Lam,Tiểu học Him Lam
Thpt Võ Thị Sáu-Phú xuân-Bình xuyên-Vĩnh Phúc,Trường THPT Võ Thị Sáu,THPT Võ Thị Sáu
Thpt Nguyễn Hữu Cầu,Trường THPT Nguyễn Hữu Cầu,THPT Nguyễn Hữu Cầu
ĐH Công Nghệ SG,Trường Đại Học Công Nghệ Sài Gòn,Đại Học Công Nghệ Sài Gòn
Trường THPT Võ Thị Sáu,Trường THPT Võ Thị Sáu,THPT Võ Thị Sáu
Trường THPT B Bình Lục Hà Nam,Trường THPT B Bình Lục,THPT B Bình Lục
Dai hoc cong nghe thuc pham tp hcm,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh
Trường THPT Trần Văn Ơn,Trường THCS Trần Văn Ơn,THCS Trần Văn Ơn
trung hoc pho thong tran Van On,Trường Trung Học Phổ Thông Trần Văn Ơn,Trung Học Phổ Thông Trần Văn Ơn
dh y khoa pham ngoc thach,Trường Đại học Y khoa Phạm Ngọc Thạch,Đại học Y khoa Phạm Ngọc Thạch
Cao đẳng Y tế Cần Thơ,Trường Cao đẳng Y tế Cần Thơ,Cao đẳng Y tế Cần Thơ
Trường THPT Nguyễn An Ninh,Trường THPT Nguyễn An Ninh,THPT Nguyễn An Ninh
Ton Duc Thang University,Trường Đại học Tôn Đức Thắng,Đại học Tôn Đức Thắng
Trường THPT Huỳnh Văn Nghệ,Trường THPT Huỳnh Văn Nghệ,THPT Huỳnh Văn Nghệ
Trường THCS Trần Bội Cơ Q5,Trường THCS Trần Bội Cơ,THCS Trần Bội Cơ
THCS Nguyễn Hồng Đào,Trường THCS Nguyễn Hồng Đào,THCS Nguyễn Hồng Đào
THPT Lê Hồng Phong Cẩm Phả Quảng Ninh,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
THPT Nguyễn Đình Chiễu,Trường THPT Dân Lập Nguyễn Đình Chiểu,THPT Dân Lập Nguyễn Đình Chiểu
Trường THPT Lê Lợi - Đơn Dương,Trường Thpt Bán Công Lê Lợi,Thpt Bán Công Lê Lợi
Đã họ tại TTH BÌNH HOÀ,Đại Sứ Quán Hoa Kỳ,Đại Sứ Quán Hoa Kỳ
Trường THPT Thới Long,Trường THPT Thới Long,THPT Thới Long
trường cao đẳng bình định,Trường Cao đẳng Bình Định,Cao đẳng Bình Định
Quỳnh Lưu Nghệ AN,Quỳnh Lưu,Quỳnh Lưu
Trường Trung Học Phổ Thông Thanh Hòa - Huyện Bù Đốp - Tỉnh...,Trường THPT Thanh Hòa,THPT Thanh Hòa
THPT Nguyễn Thị Diệu,Trường THPT Nguyễn Thị Diệu,THPT Nguyễn Thị Diệu
ttgdtx chu van an q10,Trung Tâm GDTX Chu Văn An,GDTX Chu Văn An
Trường THPT Hoàng Thái Hiếu BM VL,Trường THPT Hoàng Thái Hiếu,THPT Hoàng Thái Hiếu
truong dai hoc bach khoa ha noi,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
Trường THPT Lộc Ninh - Bình Phước,Trường THPT Lộc Ninh,THPT Lộc Ninh
Trường THPT THƯỜNG TÂN,Trường THPT Thường Tân,THPT Thường Tân
THCS Ngô Mây - Buôn Hồ,Trường THCS Ngô Mây,THCS Ngô Mây
Mahamakut Buddhist University,Đại học Phật Giáo Mahamakut,Đại học Phật Giáo Mahamakut
THCS Trảng Dài,Trường THCS Trảng Dài,THCS Trảng Dài
Ho Chi Minh City College of Economics (HCE),Trường Cao đẳng Kinh Tế TP HCM,Cao đẳng Kinh Tế TP HCM
Trường trung học cấp 2 3 mỹ phước,Trường THCS Mỹ Phước,THCS Mỹ Phước
Trường Trung Học Cấp 2 3 Mỹ Phước,Trường THCS Mỹ Phước,THCS Mỹ Phước
Trường THCS Bình Thọ,Trường THCS Bình Thọ,THCS Bình Thọ
Trường THPT Hàn Thuyên,Trường THPT Hàn Thuyên,THPT Hàn Thuyên
Dai Hoc Cong Nghiep TPHCM (HUI),Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
Truong TH Mac Dinh Chi,Trường THCS Mạc Đĩnh Chi,THCS Mạc Đĩnh Chi
truong DH Hai Phong,Trường Đại học Hải Phòng,Đại học Hải Phòng
THCS Lữ Gia Quận 11,Trường THCS Lữ Gia,THCS Lữ Gia
THPT Minh Duc,Trường THPT Minh Đức.,THPT Minh Đức.
trường THCS thạnh phú,Trường THCS Thạnh Phú,THCS Thạnh Phú
THPT Nguyễn Công Trứ,Trường THPT Nguyễn Công Trứ,THPT Nguyễn Công Trứ
Trường Đại Học Dân Lập Văn Lang,Trường Đại học Văn Lang - Cơ sở 1,Đại học Văn Lang - Cơ sở 1
Trung học phổ thông Đức Linh,Trường THPT Đức Linh,THPT Đức Linh
h ngoai giao,Học viện Ngoại giao,Học viện Ngoại giao
THCS Mạc Đỉnh Chỉ - Tam Phước,Trường THCS Mạc Đĩnh Chi,THCS Mạc Đĩnh Chi
THCS Mạc Đĩnh Chi,Trường THCS Mạc Đĩnh Chi,THCS Mạc Đĩnh Chi
THCS Trần Phú - Đức Trọng,Trường THCS Trần Phú,THCS Trần Phú
"Củ Chi, Hồ Chí Minh, Vietnam",Củ Chi,Củ Chi
Trường THPT Bạc Liêu,Trường THPT Bạc Liêu,THPT Bạc Liêu
"thpt phuoc long, Q.9",Trường THPT Phước Long,THPT Phước Long
Truong THPT Nguyen Huu Huan,Trường THPT Nguyễn Hữu Huân,THPT Nguyễn Hữu Huân
PTTH Binh Long,Trường THPT thị xã Bình Long,THPT thị xã Bình Long
Truong trung hoc pho thong my huong,Trường THPT Mỹ Hương,THPT Mỹ Hương
đại học giao thông vận tải cơ sở 2 tp hcm,Phân hiệu Trường Đại học GTVT tại Tp. Hồ Chí Minh,Phân hiệu Trường Đại học GTVT tại Tp. Hồ Chí Minh
THCS Dịch Vọng Hậu,Trường THCS Dịch Vọng Hậu,THCS Dịch Vọng Hậu
Trường THCS phường 3,Trường Trung Học Cơ Sở Phường 3,Trung Học Cơ Sở Phường 3
THCS Khánh Hội A,Trường THCS Khánh Hội,THCS Khánh Hội
trường tiểu học kim đồng,Trường Tiểu học Kim Đồng,Tiểu học Kim Đồng
Trường Trung Cấp Cảnh Sát Nhân Dân III,Trường Đại học cảnh sát nhân dân cơ sở 3,Đại học cảnh sát nhân dân cơ sở 3
Trường PTTH Long Mỹ,Trường THPT Long Mỹ,THPT Long Mỹ
trung cấp du lịch và khách sạn sài gòn tourist,Trường Trung cấp Du lịch và Khách sạn Saigontourist,Trung cấp Du lịch và Khách sạn Saigontourist
thpt hoang hoa tham-le thuy-qb,Trường THPT Hoàng Hoa Thám,THPT Hoàng Hoa Thám
dai hoc cong nghiep thanh pho ho chi minh,Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
THPTNguyenTrai,Trường THPT Nguyễn Trãi - Ba Đình,THPT Nguyễn Trãi - Ba Đình
Trường THPT Tiên Yên,Trường Thpt Tiên Yên,Thpt Tiên Yên
Trường THPT Sơn Động số 1,Trường THPT Sơn Động số 1,THPT Sơn Động số 1
Cao Đẳng Điện Lực Thành phố Hồ Chí Minh,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh,Cao đẳng Điện lực Thành phố Hồ Chí Minh
Trường THCS Phan Bội Châu Quận 12,Trường THCS Phan Bội Châu,THCS Phan Bội Châu
từng học trường Trung Cấp Nghề Kỹ Thuật Nghiệp Vụ Tôn Đức Thắng,Trường Kỹ thuật nghiệp vụ Tôn Đức Thắng,Kỹ thuật nghiệp vụ Tôn Đức Thắng
PTTH Phuc Tho,Trường THPT Phúc Thọ,THPT Phúc Thọ
Trường THPT Phúc Thọ,Trường THPT Phúc Thọ,THPT Phúc Thọ
Newyork university,Đại học New York,Đại học New York
Sinh Viên Đại Học Sư Phạm Kỹ Thuật - ĐH Đà Nẵng,Trường Đại học Sư Phạm Kỹ thuật - Đại học Đà Nẵng,Đại học Sư Phạm Kỹ thuật - Đại học Đà Nẵng
THPT NKTDTT Nguyễn Thị Định,Trường THPT Chuyên NK TDTT Nguyễn Thị Định,THPT Chuyên NK TDTT Nguyễn Thị Định
ĐHYK Phạm Ngọc Thạch,Trường Đại học Y khoa Phạm Ngọc Thạch,Đại học Y khoa Phạm Ngọc Thạch
Dong Nai University of Technology,Trường Đại Học Công Nghệ Đồng Nai,Đại Học Công Nghệ Đồng Nai
truong thpt nguyen thong,Trường THPT Nguyễn Thông,THPT Nguyễn Thông
trường THPT Tân Hưng,Trường THPT Tân Hưng,THPT Tân Hưng
Khánh Hội A,Trường THCS Khánh Hội,THCS Khánh Hội
"THPT Truong Dinh TXGC,Tien Giang, Vietnam",Trường THPT Trương Định,THPT Trương Định
TDT UNIVERSITY,Trường Đại học Tôn Đức Thắng,Đại học Tôn Đức Thắng
Trường cd ytế Quảng Nam,Trường Cao đẳng Y tế Quảng Nam,Cao đẳng Y tế Quảng Nam
"THCS Thái Văn Lung, Quận Thủ Đức, Tp.HCM",Trường THCS Thái Văn Lung,THCS Thái Văn Lung
Trường Trung Cấp Xây Dựng TP.HCM,Trường Trung Cấp Xây Dựng Tp HCM,Trung Cấp Xây Dựng Tp HCM
truong trung hoc co so phan sao nam,Trường Trung Học Cơ Sở Phan Sào Nam,Trung Học Cơ Sở Phan Sào Nam
TranHuuTrang,Trường THPT Trần Hữu Trang,THPT Trần Hữu Trang
Trường THPT Vạn Tường,Trường THPT Vạn Tường,THPT Vạn Tường
THPT Hoằng Hoá 3,THPT Hoằng Hoá 3,THPT Hoằng Hoá 3
Trường THCS Long Phước,Trường THCS Long Phước,THCS Long Phước
THCS Hoành Sơn,THCS Hoành Sơn,THCS Hoành Sơn
"THPT  Lý Tự Trọng, Thăng Bình, Quảng Nam",Trường THPT Lý Tự Trọng,THPT Lý Tự Trọng
Trường Đại học Tây Nguyên,Trường Đại học Tây Nguyên,Đại học Tây Nguyên
THCS Đông Tiến,Trường THCS Đồng Tiến,THCS Đồng Tiến
THPT tràng Định,Trường THPT Tràng Định,THPT Tràng Định
THCS Huong Dien Nam Huong,Trường THCS Hương - Điền Nam Hương,THCS Hương - Điền Nam Hương
THPT Tân Bình _Tân Phú-TPHCM,Trường THPT Tân Bình,THPT Tân Bình
Đại học Công Nghiệp Thực Phẩm Tp.HCM,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh
"Shop Hải Sản Tươi Sống 10 Phan Văn Trị,quận Ninh Kiều-TP CẦN THƠ","SHOP HẢI SẢN TƯƠI SỐNG,10 PHAN VĂN TRỊ,CẦN THƠ,VN","SHOP HẢI SẢN TƯƠI SỐNG,10 PHAN VĂN TRỊ,CẦN THƠ,VN"
THPT THĂNG LONG - LÂM HÀ,Trường THPT Thăng Long - Lâm Hà,THPT Thăng Long - Lâm Hà
THPT Hòa Vang,Trường THPT Hòa Vang,THPT Hòa Vang
Đại học Ngoại Ngữ - Đại học Đà nẵng,Trường Đại học Ngoại ngữ - ĐH Đà Nẵng (Cơ sở 2),Đại học Ngoại ngữ - ĐH Đà Nẵng
THPT ANH SƠN 3,Trường THPT Anh Sơn 3,THPT Anh Sơn 3
Trường THPT Thanh Sơn Phú Thọ,Trường THPT Thanh Sơn,THPT Thanh Sơn
Trường THPT Yên Lạc,Trường THPT Yên Lạc 1,THPT Yên Lạc 1
THPT Chuyên Biên Hòa - Hà Nam,"Trường Trung học phổ thông chuyên Biên Hòa, Hà Nam","Trung học phổ thông chuyên Biên Hòa, Hà Nam"
dai hoc y thai binh,Đại Học Y Dược Thái Bình,Đại Học Y Dược Thái Bình
THCS nga tiến,Trường THCS Nga Tiến,THCS Nga Tiến
THCS Hậu Nghĩa,Trường THCS Hậu Nghĩa,THCS Hậu Nghĩa
Trường Đại Học Y Dược Hải Phòng,Trường Đại học Y Dược Hải Phòng,Đại học Y Dược Hải Phòng
ĐH Xây Dựng Hà Nội,Trường Đại Học Xây Dựng,Đại Học Xây Dựng
Cao đẳng giao thông vận tải 3,Trường Cao đẳng Giao thông Vận tải Trung ương VI,Cao đẳng Giao thông Vận tải Trung ương VI
THPT Le Quy Don ( Ha Tinh ),Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
Trường Đại học Luật - Đại học Huế,"Trường Đại học Luật, Đại học Huế","Đại học Luật, Đại học Huế"
"THPT  Việt Đức, Đăk Lăk",Trường THPT Việt Đức,THPT Việt Đức
Trường THPT Nga Sơn,Trường THPT Nga Sơn,THPT Nga Sơn
Sungkyunkwan University,Đại học Thành Quân Quán,Đại học Thành Quân Quán
Trường THPT Đông Hà,Trường THPT Đông Hà,THPT Đông Hà
Trường Đại học Nghệ thuật Huế,Trường đại học Nghệ thuật - Đại học Huế.,đại học Nghệ thuật - Đại học Huế.
Trường THPT Nguyễn Hữu Cảnh,Trường THPT Nguyễn Hữu Cảnh,THPT Nguyễn Hữu Cảnh
Hồng Bàng International University ( Đại Học Quốc Tế Hồng Bàng ),Đại Học Quốc Tế Hồng Bàng,Đại Học Quốc Tế Hồng Bàng
trung hoc pho thong dong loc,Trường THPT Đồng Lộc,THPT Đồng Lộc
Trường Tiểu Học Lý Thái Tổ,Trường Tiểu học Lý Thái Tổ,Tiểu học Lý Thái Tổ
Trường THPT Lương Khánh Thiện,Trường THPT L­ương Khánh Thiện,THPT L­ương Khánh Thiện
Nguyen Van Troi High School - Nha Trang,Trường THPT Nguyễn Văn Trỗi,THPT Nguyễn Văn Trỗi
Truong Cao Dang Cong Dong Soc Trang,Trường cao đẳng cộng đồng Sóc Trăng,cao đẳng cộng đồng Sóc Trăng
THCS Nghĩa Tân,Trường THCS Nghĩa Tân,THCS Nghĩa Tân
THPT Cẩm Thuỷ I,Trường THPT Cẩm Thủy I,THPT Cẩm Thủy I
THPT Trần Suyền,Trường THPT Trần Suyền,THPT Trần Suyền
Đại Học Luật Hà Nội,Trường Đại học Luật Hà Nội,Đại học Luật Hà Nội
pho thong tang bat ho,"Trường Thpt Tăng Bạt Hổ, Hoài Nhơn, Bình Định","Thpt Tăng Bạt Hổ, Hoài Nhơn, Bình Định"
Truong THPT Nguyen Van Troi (Ha Tinh),Trường THPT Nguyễn Văn Trỗi,THPT Nguyễn Văn Trỗi
Truong Trung hoc pt dong loc,Trường THPT Đồng Lộc,THPT Đồng Lộc
Hoc Vien Bien Phong Son Tay Ha Noi,Học viện Biên Phòng,Học viện Biên Phòng
Dai Hoc Giao Thong Van Tai,Trường Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
Trường THPT Chuyên tỉnh Sơn La,Trường THPT Chuyên Sơn La,THPT Chuyên Sơn La
thpt dong loc,Trường THPT Đồng Lộc,THPT Đồng Lộc
Trường THPT Tuần Giáo,Trường Thpt Tuần Giáo,Thpt Tuần Giáo
THCS Nguyen Hong Anh,Trường THCS Nguyễn Hồng Ánh,THCS Nguyễn Hồng Ánh
Trường THPT Bình Thuận Thuận Châu Sơn la,Trường THPT Bình Thuận,THPT Bình Thuận
CDSP DIEN BIEN,Trường cao đẳng sư phạm Điện Biên,cao đẳng sư phạm Điện Biên
THCS Nguyễn Huệ Quận 4,Trường THCS Nguyễn Huệ,THCS Nguyễn Huệ
truong THPT Dong loc,Trường THPT Đồng Lộc,THPT Đồng Lộc
Trường THCS Đồng Lộc,Trường THCS Đồng Lộc,THCS Đồng Lộc
Trường THPT Trần Can Điện Biên Đông,Trường THPT Trần Can,THPT Trần Can
Trường Đại Học Nông Lâm - Đại Học Thái Nguyên,Trường Đại học Nông Lâm,Đại học Nông Lâm
Trung Học Phổ Thông Yên Khánh A,Trường THPT Yên Khánh A,THPT Yên Khánh A
Đại Học Kinh Tế - Đại Học Quốc Gia Hà Nội,Trường Đại học Kinh tế - ĐHQGHN,Đại học Kinh tế - ĐHQGHN
THPT Chuyên Lê Quý Đôn - TP Điện Biên Phủ - Tỉnh Điện Biên,THPT Chuyên Lê Qúy Đôn - Điện Biên,THPT Chuyên Lê Qúy Đôn - Điện Biên
kinh te ky thuat cong nghiep,Trường Đại học Kinh tế Kỹ thuật Công nghiệp (UNETI),Đại học Kinh tế Kỹ thuật Công nghiệp
THPT Phạm Hồng Thái-Hưng Nguyên-Nghệ An,THPT Phạm Hồng Thái,THPT Phạm Hồng Thái
THPT Nguyễn Công Trứ - Gò Vấp - HCM (Nguyen Cong Tru),Trường THPT Nguyễn Công Trứ,THPT Nguyễn Công Trứ
Trường THPT Vĩnh Thuận,Trường THPT Vĩnh Thuận,THPT Vĩnh Thuận
trường THCS Định Hòa,Trường THCS Định Hòa,THCS Định Hòa
Trường Trung Học Phổ Thông Thái Phúc-Thái Thụy-Thái Bình,Trường THPT Thái Phúc,THPT Thái Phúc
Tthpt nguyen khac vien,TRƯỜNG THPT NGUYỄN KHẮC VIỆN (DÂN LẬP SƠN BẰNG),THPT NGUYỄN KHẮC VIỆN
trường THPT Ngô Gia Tự - Từ Sơn - Bắc Ninh,Trường THPT Ngô Gia Tự,THPT Ngô Gia Tự
Truong trung hoc co so Son Ninh,Trường THCS Ninh Sơn,THCS Ninh Sơn
THPT Lê Hữu Trác 1,Trường THPT Lê Hữu Trác,THPT Lê Hữu Trác
Trường THCS Nguyễn Lương Bằng,Trường THCS Nguyễn Lương Bằng,THCS Nguyễn Lương Bằng
Trường THPT Nguyễn Thị Minh Khai - Đức Thọ - Hà Tĩnh,Trường THPT Nguyễn Thị Minh Khai,THPT Nguyễn Thị Minh Khai
THCS Hoàng Xuân Hãn - Đức Thọ,Trường THCS Hoàng Xuân Hãn,THCS Hoàng Xuân Hãn
Truong THPT Thai Phien,Trường THPT Thái Phiên,THPT Thái Phiên
THPT Hai Bà Trưng - Huế 07-10,Trường THPT Hai Bà Trưng,THPT Hai Bà Trưng
THPT số 1 Quảng Trạch,Trường THPT Lương Thế Vinh - Quảng Bình,THPT Lương Thế Vinh - Quảng Bình
Trường THPT Huyện Điện Biên,Trường THPT huyện Điện Biên,THPT huyện Điện Biên
THPT Lê Chân - Đông Triều - Quảng Ninh,THPT Lê Chân,THPT Lê Chân
cao dang ki thuat cao thang,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
cao dang kinh te ki thuat hai duong,Trường Đại Học Kinh Tế - Kỹ Thuật Hải Dương,Đại Học Kinh Tế - Kỹ Thuật Hải Dương
THPT Nghen,Trường THPT Nghèn,THPT Nghèn
